country,country_code,PC1,PC2,cultural_region,data_source
Albania,8,-0.9818,-0.2804,African-Islamic,IVS
Algeria,12,-1.0635,-0.8397,African-Islamic,IVS
Andorra,20,2.9995,1.4204,Catholic Europe,IVS
Argentina,32,0.7647,-0.188,Latin America,IVS
Armenia,51,-1.2218,-1.0043,Orthodox Europe,IVS
Australia,36,3.3612,0.71,English-Speaking,IVS
Austria,40,2.153,1.0715,Catholic Europe,IVS
Azerbaijan,31,-1.3107,-1.0891,African-Islamic,IVS
Bangladesh,50,-1.0373,-1.8551,West & South Asia,IVS
Belarus,112,-0.3382,0.5094,Orthodox Europe,IVS
Belgium,56,2.4095,0.8956,Catholic Europe,IVS
Bolivia,68,-0.5193,-1.3858,Latin America,IVS
Bosnia and Herzegovina,70,-0.6759,0.1872,Orthodox Europe,IVS
Brazil,76,0.0143,-0.3564,Latin America,IVS
Bulgaria,100,-0.6076,1.0678,Orthodox Europe,IVS
Burkina Faso,854,-0.8588,-1.2262,African-Islamic,IVS
Canada,124,3.1377,0.9553,English-Speaking,IVS
Chile,152,0.2226,-0.1563,Latin America,IVS
China,156,-0.0043,0.6869,Confucian,IVS
Code_197,197,-0.7196,-0.1994,,IVS
Code_909,909,1.7081,0.0989,,IVS
Code_915,915,-0.7174,-1.3369,,IVS
Colombia,170,0.1297,-1.9558,Latin America,IVS
Croatia,191,0.4411,0.4405,Catholic Europe,IVS
Cyprus,196,-0.2371,-0.4285,Orthodox Europe,IVS
Czechia,203,1.4942,1.7678,Catholic Europe,IVS
Denmark,208,4.2813,1.846,Protestant Europe,IVS
Ecuador,218,-0.1858,-2.078,Latin America,IVS
Egypt,818,-1.4627,-0.4924,African-Islamic,IVS
Estonia,233,0.2896,1.3189,West & South Asia,IVS
Ethiopia,231,-1.0522,-1.261,African-Islamic,IVS
Finland,246,2.8995,1.3228,Protestant Europe,IVS
France,250,2.6562,1.193,Catholic Europe,IVS
Georgia,268,-1.4996,-1.0976,Orthodox Europe,IVS
Germany,276,2.2903,1.795,Protestant Europe,IVS
Ghana,288,-1.1858,-2.348,African-Islamic,IVS
Greece,300,-0.0171,0.2417,Orthodox Europe,IVS
Guatemala,320,0.3323,-1.0905,Latin America,IVS
Haiti,332,0.2835,-0.7053,Latin America,IVS
Hong Kong,344,0.5673,1.7672,Confucian,IVS
Hungary,348,0.182,0.836,Catholic Europe,IVS
Iceland,352,3.9785,1.1384,Protestant Europe,IVS
India,356,-0.5777,-0.8914,West & South Asia,IVS
Indonesia,360,-1.2364,-1.3225,West & South Asia,IVS
Iran,364,-1.2547,-0.9416,West & South Asia,IVS
Iraq,368,-1.2467,-0.7422,African-Islamic,IVS
Ireland,372,1.4781,-0.6801,Catholic Europe,IVS
Italy,380,1.1003,0.5055,Catholic Europe,IVS
Japan,392,1.5875,2.0382,Confucian,IVS
Jordan,400,-1.7794,-1.9998,African-Islamic,IVS
Kazakhstan,398,-0.679,-0.5441,African-Islamic,IVS
Kenya,404,-0.1617,-0.9336,African-Islamic,IVS
"Korea, Republic of",410,0.0245,1.3397,Confucian,IVS
Kuwait,414,0.3378,-1.1095,African-Islamic,IVS
Kyrgyzstan,417,-0.8787,-1.5853,West & South Asia,IVS
Latvia,428,-0.0626,0.9881,Other,IVS
Lebanon,422,-1.1551,-0.5374,African-Islamic,IVS
Libya,434,-1.3297,-1.9898,African-Islamic,IVS
Lithuania,440,-0.3201,1.0984,Other,IVS
Luxembourg,442,2.268,0.8774,Catholic Europe,IVS
Macao,446,0.8458,1.6738,Confucian,IVS
Malaysia,458,-0.5739,-0.8427,West & South Asia,IVS
Maldives,462,-0.8156,-1.4853,West & South Asia,IVS
Mali,466,-0.1521,-1.3862,African-Islamic,IVS
Malta,470,-0.2147,-1.4678,Catholic Europe,IVS
Mexico,484,0.5796,-1.5944,Latin America,IVS
Moldova,498,-1.8581,0.5216,Orthodox Europe,IVS
Mongolia,496,0.6373,1.2445,Confucian,IVS
Montenegro,499,-0.2533,0.0341,Orthodox Europe,IVS
Morocco,504,-1.2974,-0.9016,African-Islamic,IVS
Myanmar,104,-1.2867,-1.4825,West & South Asia,IVS
Netherlands,528,3.3784,1.5541,Protestant Europe,IVS
New Zealand,554,3.3111,0.7641,English-Speaking,IVS
Nicaragua,558,-0.5272,-1.9531,Latin America,IVS
Nigeria,566,-1.179,-1.5972,African-Islamic,IVS
Norway,578,4.1852,1.7562,Protestant Europe,IVS
Pakistan,586,-0.7685,-1.5343,West & South Asia,IVS
Palestine,275,-1.6869,-1.036,African-Islamic,IVS
Peru,604,-0.4193,-0.9224,Latin America,IVS
Philippines,608,-0.0514,-1.7205,Other,IVS
Poland,616,0.1972,-0.349,Catholic Europe,IVS
Portugal,620,-0.0465,-0.2432,Catholic Europe,IVS
Puerto Rico,630,0.8707,-1.5902,Latin America,IVS
Qatar,634,-0.4501,-2.6741,African-Islamic,IVS
Republic of North Macedonia,807,0.0526,0.2223,Other,IVS
Romania,642,-1.2734,-0.253,Orthodox Europe,IVS
Russian Federation,643,-0.692,0.4689,Orthodox Europe,IVS
Rwanda,646,-1.1755,-1.6065,African-Islamic,IVS
Serbia,688,-0.2436,0.5902,Orthodox Europe,IVS
Singapore,702,0.3365,-0.0469,West & South Asia,IVS
Slovakia,703,0.4904,0.8544,Catholic Europe,IVS
Slovenia,705,1.4739,1.0783,Catholic Europe,IVS
South Africa,710,0.0345,-0.8346,African-Islamic,IVS
Spain,724,1.6596,0.7773,Catholic Europe,IVS
Sweden,752,4.4311,2.2756,Protestant Europe,IVS
Switzerland,756,3.2036,1.2257,Protestant Europe,IVS
"Taiwan, Province of China",158,-0.1525,1.351,Confucian,IVS
Tajikistan,762,-0.2685,-1.7976,West & South Asia,IVS
Thailand,764,0.1401,-0.3689,West & South Asia,IVS
Trinidad and Tobago,780,-0.5502,-2.133,Latin America,IVS
Tunisia,788,-1.8653,-0.9187,African-Islamic,IVS
Turkey,792,-1.1137,-1.079,West & South Asia,IVS
Ukraine,804,-0.8346,0.5129,Orthodox Europe,IVS
United Kingdom,826,3.1062,1.0912,English-Speaking,IVS
United States of America,840,2.0787,0.3202,English-Speaking,IVS
Uruguay,858,1.4359,-0.1281,Latin America,IVS
Uzbekistan,860,0.0951,-1.9554,West & South Asia,IVS
Venezuela,862,-0.2624,-1.1704,Latin America,IVS
Viet Nam,704,0.5015,-0.7033,West & South Asia,IVS
Yemen,887,-1.377,-1.4155,African-Islamic,IVS
Zambia,894,-0.9603,-0.5082,African-Islamic,IVS
Zimbabwe,716,-1.719,-1.3092,African-Islamic,IVS
