model_name,country,country_code,language,condition,PC1,PC2,data_source
claude-3-7-sonnet-20250219,Algeria,12,ar,imitation,-1.6475,-1.7093,LLM
claude-3-7-sonnet-20250219,Algeria,12,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,Argentina,32,en,imitation,0.997,1.529,LLM
claude-3-7-sonnet-20250219,Argentina,32,es,imitation,0.8992,0.576,LLM
claude-3-7-sonnet-20250219,Australia,36,en-native,imitation,5.2422,3.4541,LLM
claude-3-7-sonnet-20250219,Austria,40,de,imitation,3.2906,2.3893,LLM
claude-3-7-sonnet-20250219,Austria,40,en,imitation,4.3041,2.7309,LLM
claude-3-7-sonnet-20250219,Belarus,112,en,imitation,-1.6394,2.1396,LLM
claude-3-7-sonnet-20250219,Belarus,112,ru,imitation,-0.6858,0.5646,LLM
claude-3-7-sonnet-20250219,Belgium,56,de,imitation,4.4097,2.5142,LLM
claude-3-7-sonnet-20250219,Belgium,56,en,imitation,5.2663,2.7071,LLM
claude-3-7-sonnet-20250219,Belgium,56,fr,imitation,4.2878,2.3082,LLM
claude-3-7-sonnet-20250219,Bolivia,68,en,imitation,-1.2187,-0.0098,LLM
claude-3-7-sonnet-20250219,Bolivia,68,es,imitation,-1.2187,-0.0098,LLM
claude-3-7-sonnet-20250219,Brazil,76,en,imitation,2.7355,0.7165,LLM
claude-3-7-sonnet-20250219,Brazil,76,pt,imitation,-0.2913,0.4621,LLM
claude-3-7-sonnet-20250219,Burkina Faso,854,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,Burkina Faso,854,fr,imitation,-2.7992,-0.6394,LLM
claude-3-7-sonnet-20250219,Canada,124,en-native,imitation,5.1444,2.5012,LLM
claude-3-7-sonnet-20250219,Canada,124,fr,imitation,4.8039,1.0521,LLM
claude-3-7-sonnet-20250219,Chile,152,en,imitation,0.7822,0.6801,LLM
claude-3-7-sonnet-20250219,Chile,152,es,imitation,0.0413,0.8344,LLM
claude-3-7-sonnet-20250219,China,156,en,imitation,0.3331,0.4065,LLM
claude-3-7-sonnet-20250219,China,156,zh-cn,imitation,0.9348,0.5133,LLM
claude-3-7-sonnet-20250219,Colombia,170,en,imitation,-0.3419,-0.9582,LLM
claude-3-7-sonnet-20250219,Colombia,170,es,imitation,-0.769,0.2584,LLM
claude-3-7-sonnet-20250219,Ecuador,218,en,imitation,-1.2187,-0.0098,LLM
claude-3-7-sonnet-20250219,Ecuador,218,es,imitation,-1.2187,-0.0098,LLM
claude-3-7-sonnet-20250219,Egypt,818,ar,imitation,-1.6475,-1.7093,LLM
claude-3-7-sonnet-20250219,Egypt,818,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,France,250,en,imitation,3.8703,3.4116,LLM
claude-3-7-sonnet-20250219,France,250,fr,imitation,3.0377,2.4716,LLM
claude-3-7-sonnet-20250219,Germany,276,de,imitation,4.4097,2.5142,LLM
claude-3-7-sonnet-20250219,Germany,276,en,imitation,5.3816,3.6314,LLM
claude-3-7-sonnet-20250219,Ghana,288,en-native,imitation,-1.3911,-1.6361,LLM
claude-3-7-sonnet-20250219,Guatemala,320,en,imitation,-1.5794,-0.3177,LLM
claude-3-7-sonnet-20250219,Guatemala,320,es,imitation,-1.7902,-0.484,LLM
claude-3-7-sonnet-20250219,Haiti,332,en,imitation,-1.8182,-0.4195,LLM
claude-3-7-sonnet-20250219,Haiti,332,fr,imitation,-3.636,1.765,LLM
claude-3-7-sonnet-20250219,Hong Kong,344,en-native,imitation,-0.1303,2.7801,LLM
claude-3-7-sonnet-20250219,Hong Kong,344,zh-cn,imitation,2.653,2.9108,LLM
claude-3-7-sonnet-20250219,Hong Kong,344,zh-hk,imitation,1.0285,5.2904,LLM
claude-3-7-sonnet-20250219,Iraq,368,ar,imitation,-3.038,-0.7413,LLM
claude-3-7-sonnet-20250219,Iraq,368,en,imitation,-2.2854,-0.6591,LLM
claude-3-7-sonnet-20250219,Ireland,372,en-native,imitation,5.1204,3.2482,LLM
claude-3-7-sonnet-20250219,Italy,380,en,imitation,3.4117,2.1508,LLM
claude-3-7-sonnet-20250219,Italy,380,it,imitation,2.5551,1.9578,LLM
claude-3-7-sonnet-20250219,Japan,392,en,imitation,0.2618,1.6208,LLM
claude-3-7-sonnet-20250219,Japan,392,ja,imitation,0.086,1.3972,LLM
claude-3-7-sonnet-20250219,Jordan,400,ar,imitation,-1.6475,-1.7093,LLM
claude-3-7-sonnet-20250219,Jordan,400,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,Kazakhstan,398,en,imitation,-1.3638,0.1587,LLM
claude-3-7-sonnet-20250219,Kazakhstan,398,ru,imitation,-1.2467,0.0546,LLM
claude-3-7-sonnet-20250219,Kenya,404,en-native,imitation,-1.3911,-1.6361,LLM
claude-3-7-sonnet-20250219,"Korea, Republic of",410,en,imitation,-0.5311,1.0161,LLM
claude-3-7-sonnet-20250219,"Korea, Republic of",410,ko,imitation,-0.1577,0.9853,LLM
claude-3-7-sonnet-20250219,Kuwait,414,ar,imitation,-1.9801,-2.0816,LLM
claude-3-7-sonnet-20250219,Kuwait,414,en,imitation,-1.6194,-1.7738,LLM
claude-3-7-sonnet-20250219,Kyrgyzstan,417,en,imitation,-1.6964,-0.2136,LLM
claude-3-7-sonnet-20250219,Kyrgyzstan,417,ru,imitation,-1.6964,-0.2136,LLM
claude-3-7-sonnet-20250219,Lebanon,422,ar,imitation,-2.8047,0.9098,LLM
claude-3-7-sonnet-20250219,Lebanon,422,en,imitation,-1.6964,-0.2136,LLM
claude-3-7-sonnet-20250219,Libya,434,ar,imitation,-1.9801,-2.0816,LLM
claude-3-7-sonnet-20250219,Libya,434,en,imitation,-2.6973,-2.0973,LLM
claude-3-7-sonnet-20250219,Luxembourg,442,de,imitation,4.8368,1.2976,LLM
claude-3-7-sonnet-20250219,Luxembourg,442,en,imitation,5.2663,2.7071,LLM
claude-3-7-sonnet-20250219,Luxembourg,442,fr,imitation,4.715,1.0917,LLM
claude-3-7-sonnet-20250219,Macao,446,en,imitation,-0.1927,1.0426,LLM
claude-3-7-sonnet-20250219,Macao,446,pt,imitation,-0.1927,1.0426,LLM
claude-3-7-sonnet-20250219,Macao,446,zh-cn,imitation,0.2591,1.0079,LLM
claude-3-7-sonnet-20250219,Malaysia,458,en-native,imitation,-1.2467,0.0546,LLM
claude-3-7-sonnet-20250219,Mali,466,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,Mali,466,fr,imitation,-3.1599,-0.9472,LLM
claude-3-7-sonnet-20250219,Malta,470,en-native,imitation,-0.103,-0.8563,LLM
claude-3-7-sonnet-20250219,Mexico,484,en,imitation,-0.3419,-0.9582,LLM
claude-3-7-sonnet-20250219,Mexico,484,es,imitation,-0.769,0.2584,LLM
claude-3-7-sonnet-20250219,Morocco,504,ar,imitation,-1.4086,-1.6074,LLM
claude-3-7-sonnet-20250219,Morocco,504,en,imitation,-1.6019,-1.8024,LLM
claude-3-7-sonnet-20250219,New Zealand,554,en-native,imitation,5.2422,3.4541,LLM
claude-3-7-sonnet-20250219,Nicaragua,558,en,imitation,-1.5794,-0.3177,LLM
claude-3-7-sonnet-20250219,Nicaragua,558,es,imitation,-1.7902,-0.484,LLM
claude-3-7-sonnet-20250219,Nigeria,566,en-native,imitation,-1.6194,-1.7738,LLM
claude-3-7-sonnet-20250219,Pakistan,586,en-native,imitation,-1.6194,-1.7738,LLM
claude-3-7-sonnet-20250219,Palestine,275,ar,imitation,-0.7521,-0.3326,LLM
claude-3-7-sonnet-20250219,Palestine,275,en,imitation,-2.7992,-0.6394,LLM
claude-3-7-sonnet-20250219,Peru,604,en,imitation,-1.0079,0.1565,LLM
claude-3-7-sonnet-20250219,Peru,604,es,imitation,-1.0079,0.1565,LLM
claude-3-7-sonnet-20250219,Philippines,608,en-native,imitation,-0.6745,-1.3305,LLM
claude-3-7-sonnet-20250219,Portugal,620,en,imitation,3.2878,2.2477,LLM
claude-3-7-sonnet-20250219,Portugal,620,pt,imitation,0.8587,1.4176,LLM
claude-3-7-sonnet-20250219,Puerto Rico,630,en-native,imitation,0.9644,-0.497,LLM
claude-3-7-sonnet-20250219,Puerto Rico,630,es,imitation,0.8992,0.576,LLM
claude-3-7-sonnet-20250219,Qatar,634,ar,imitation,-1.6569,-3.4089,LLM
claude-3-7-sonnet-20250219,Qatar,634,en,imitation,-2.8192,-2.3032,LLM
claude-3-7-sonnet-20250219,Russian Federation,643,en,imitation,-1.5175,2.3455,LLM
claude-3-7-sonnet-20250219,Russian Federation,643,ru,imitation,-0.6858,0.5646,LLM
claude-3-7-sonnet-20250219,Rwanda,646,en-native,imitation,-1.6019,-1.8024,LLM
