model_name,country,country_code,language,data_source,PC1,PC2,PC1_rescaled,PC2_rescaled
gpt-4o,Libya,434.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
deepseek-chat,Egypt,818.0,fr,Multilingual,-1.8237629416778744,-0.5188643841338364,-2.921010924436953,-0.8453716584554767
gemini-2.5-flash,Algeria,12.0,fr,Multilingual,-1.9460558090420956,-0.59994188978377,-3.1423610143661933,-0.9759064425518699
deepseek-chat,Algeria,12.0,fr,Multilingual,-1.187455529166036,-1.1833905883410902,-1.7692945077905256,-1.9152588472291554
gpt-4o,Lebanon,422.0,fr,Multilingual,-1.0371478724686491,0.5774222892533937,-1.4972376491682549,0.9196498856979639
gemini-2.5-pro,Tunisia,788.0,fr,Multilingual,-1.5420979887329438,0.8180227165466963,-2.4111973596066285,1.307016573640181
gemini-3-pro-preview,Egypt,818.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
kimi-k2,Yemen,887.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
llama-3.2-3b-instruct,Algeria,12.0,fr,Multilingual,0.8090002518516712,0.8176224721157854,1.844290455851525,1.3063721801064145
kimi-k2,Morocco,504.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
mistral-nemo,Algeria,12.0,fr,Multilingual,0.367141879989272,-0.08838262373762973,1.0445268027805823,-0.15229602421758387
gpt-5.1,Jordan,400.0,fr,Multilingual,-1.1719516347036474,-1.2234381400063028,-1.741232458813602,-1.9797354054101477
claude-3.7-sonnet,Palestine,275.0,fr,Multilingual,-1.888414141794695,-0.4542191440988572,-3.038029596648398,-0.7412928219991601
claude-3-7-sonnet-20250219,Lebanon,422.0,fr,Multilingual,-2.218777962935998,1.10251304549999,-3.6359881129141565,1.7650460032549842
gemini-2.5-flash,Kuwait,414.0,fr,Multilingual,-0.5001313491923954,0.1003011895657842,-0.5252377420382358,0.15148491520091256
deepseek-chat-v3.1,Algeria,12.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
gemini-2.5-flash,Jordan,400.0,fr,Multilingual,-0.1210627039755279,-0.5935501702788984,0.1608765058042945,-0.9656157741490266
doubao-1-5-pro-32k-250115,Lebanon,422.0,fr,Multilingual,-0.6028485539197472,-1.121308360158063,-0.7111558825947425,-1.8153064598544815
deepseek-chat-v3.1,Iraq,368.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
gpt-5.1,Iraq,368.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
deepseek-chat,Morocco,504.0,fr,Multilingual,-1.187455529166036,-1.1833905883410902,-1.7692945077905256,-1.9152588472291554
claude-3-7-sonnet-20250219,Morocco,504.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
deepseek-chat,Iraq,368.0,fr,Multilingual,-2.191733969697533,0.1734908361430035,-3.587038485152535,0.26932024619023565
gemma-3-4b-it,Jordan,400.0,fr,Multilingual,1.153475524384366,0.07170427577008057,2.467790699135702,0.10544388398982972
llama-3.3-70b-instruct,Morocco,504.0,fr,Multilingual,-1.1719516347036474,-1.2234381400063028,-1.741232458813602,-1.9797354054101477
qwq-32b,Qatar,634.0,fr,Multilingual,-0.48383884326999654,-2.188015692157138,-0.4957483063186937,-3.532705264372992
gemini-3-pro-preview,Algeria,12.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
gemini-2.5-pro,Lebanon,422.0,fr,Multilingual,-1.5806762869718285,1.4762141901294634,-2.4810240794190097,2.3667048461084366
kimi-k2,Tunisia,788.0,fr,Multilingual,-0.7897045007194151,-0.3902760145772143,-1.0493651463021414,-0.638344383469315
qwen3-max,Jordan,400.0,fr,Multilingual,-1.4629311790732298,-0.42096555799686625,-2.267905434122546,-0.6877545483749548
deepseek-chat,Palestine,275.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
qwq-32b,Algeria,12.0,fr,Multilingual,-2.191733969697533,0.1734908361430035,-3.587038485152535,0.26932024619023565
gpt-4o,Morocco,504.0,fr,Multilingual,-1.8237629416778744,-0.5188643841338364,-2.921010924436953,-0.8453716584554767
gpt-4o-mini,Tunisia,788.0,fr,Multilingual,-0.47978525486299856,-0.07351392216664306,-0.4884113113020274,-0.12835741468829534
llama-3.3-70b-instruct,Egypt,818.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
gemini-2.5-flash,Lebanon,422.0,fr,Multilingual,-0.2011428363251834,-0.25705869981508106,0.01593146625141806,-0.42386450670228054
claude-3.7-sonnet,Iraq,368.0,fr,Multilingual,-2.191733969697533,0.1734908361430035,-3.587038485152535,0.26932024619023565
mistral-nemo,Libya,434.0,fr,Multilingual,0.3574669717879342,-0.07057993176147126,1.0270152189361608,-0.12363369013596873
qwen3-max,Libya,434.0,fr,Multilingual,-3.669269263346185,1.4105269429261083,-6.261377366656595,2.2609483781110344
gemini-2.5-flash,Tunisia,788.0,fr,Multilingual,-1.3734113117275828,-0.0655273711126737,-2.105874474226925,-0.11549906749140466
gpt-4o,Jordan,400.0,fr,Multilingual,-1.9557307172434335,-0.5821391978076118,-3.159872598210615,-0.9472441084702551
doubao-1-5-pro-32k-250115,Libya,434.0,fr,Multilingual,-1.5309356955583477,-0.7180468334007227,-2.3909936089606094,-1.1660554017751636
mistral-medium-3.1,Libya,434.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
gpt-5.1,Tunisia,788.0,fr,Multilingual,-0.8747827872963281,0.07340140900901794,-1.2033568450063536,0.10817626850451889
llama-3.3-70b-instruct,Tunisia,788.0,fr,Multilingual,-0.4991350712656743,-0.03790853821432613,-0.5234344789908705,-0.07103274652506507
mistral-nemo,Lebanon,422.0,fr,Multilingual,1.498170825700219,-0.46623518812468207,3.0916891945173965,-0.7606386528807382
gpt-4o-mini,Yemen,887.0,fr,Multilingual,-0.8887216413798307,-0.6257692766092255,-1.2285861708974934,-1.0174885353408532
llama-3.2-3b-instruct,Libya,434.0,fr,Multilingual,0.157188944877444,1.5221962279882517,0.6645119902281736,2.4407359270610858
mistral-medium-3.1,Palestine,275.0,fr,Multilingual,-1.5309356955583477,-0.7180468334007227,-2.3909936089606094,-1.1660554017751636
mistral-nemo,Jordan,400.0,fr,Multilingual,0.5017750308867491,0.16745748367987937,1.288212805905016,0.2596065487246058
gpt-4o-mini,Morocco,504.0,fr,Multilingual,-0.21549496302601617,-0.5950797331895739,-0.010045883077089257,-0.9680783704352139
glm-4.6,Algeria,12.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
deepseek-chat,Lebanon,422.0,fr,Multilingual,-1.7498469482755576,0.55352774222735,-2.7872229763787595,0.8811796649860336
claude-sonnet-4.5,Libya,434.0,fr,Multilingual,-1.944414121514193,-0.7252600135688884,-3.1393895599406894,-1.1776686218459103
gemini-2.5-flash,Palestine,275.0,fr,Multilingual,0.00871388868479312,-0.0160343305529713,0.39577213851947557,-0.0358152721902838
gpt-5.1,Lebanon,422.0,fr,Multilingual,-1.7440179620145067,0.5312828825382961,-2.7766725112462574,0.8453654408866569
qwq-32b,Palestine,275.0,fr,Multilingual,-1.323302106227375,2.0476586412064237,-2.015176812271549,3.2867304123423424
claude-3.7-sonnet,Egypt,818.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
deepseek-chat-v3.1,Tunisia,788.0,fr,Multilingual,-2.2985229425993654,0.05236577882785764,-3.7803265261048518,0.0743089039128508
gemma-3-4b-it,Algeria,12.0,fr,Multilingual,1.6866476242457848,0.6129137908347856,3.4328321998848708,0.9767912032440048
claude-sonnet-4.5,Tunisia,788.0,fr,Multilingual,-1.2621980091814027,-0.4320225204615277,-1.904578396618339,-0.7055562579430597
mistral-nemo,Iraq,368.0,fr,Multilingual,0.3477920635865963,-0.05277723978531279,1.0095036350917392,-0.0949713560543536
gemini-2.5-pro,Morocco,504.0,fr,Multilingual,-0.0800149036008798,-0.6217552843493179,0.23517302448240757,-1.011026007802402
kimi-k2,Egypt,818.0,fr,Multilingual,-1.094960151053571,-1.1133207782737065,-1.6018778734069636,-1.8024464530206674
kimi-k2,Algeria,12.0,fr,Multilingual,-1.22692792661913,-1.1765955919474818,-1.8407395471806254,-1.9043189030354457
doubao-1-5-pro-32k-250115,Morocco,504.0,fr,Multilingual,-1.4203832913723764,-1.3900353190190653,-2.1908937573840013,-2.2479568636206952
qwq-32b,Iraq,368.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
deepseek-chat-v3.1,Palestine,275.0,fr,Multilingual,-2.173072094331237,-0.031275769504415296,-3.553260490739539,-0.060353988902108635
gpt-4o-mini,Palestine,275.0,fr,Multilingual,-1.1578683973894466,0.2251454996375529,-1.7157417992748987,0.3524842544164602
gpt-5.1,Palestine,275.0,fr,Multilingual,-1.414471814455178,-0.6147244680617353,-2.1801939841638722,-0.999706393579394
gpt-4o-mini,Qatar,634.0,fr,Multilingual,-0.5362545078225608,-1.2780769452208536,-0.5906206591588351,-2.067703881805574
gpt-4o-mini,Kuwait,414.0,fr,Multilingual,-0.6527183889257309,-1.381399310559841,-0.801420283955573,-2.234052890001344
kimi-k2,Jordan,400.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
doubao-1-5-pro-32k-250115,Algeria,12.0,fr,Multilingual,-1.4107083831710385,-1.4078380109952238,-2.1733821735395797,-2.2766191977023102
claude-3-7-sonnet-20250219,Algeria,12.0,fr,Multilingual,-1.7467714580277982,-0.40874702240124045,-2.781656339030315,-0.6680827060659972
grok-4.1-fast,Yemen,887.0,fr,Multilingual,-3.433266010892086,0.6548969089754928,-5.834211479714676,1.0443840234505435
gpt-4o,Algeria,12.0,fr,Multilingual,-1.8237629416778744,-0.5188643841338364,-2.921010924436953,-0.8453716584554767
gemma-3-4b-it,Libya,434.0,fr,Multilingual,0.3088191382876439,-0.04704909442173993,0.9389626403006355,-0.08574904201900128
gpt-4o,Egypt,818.0,fr,Multilingual,-1.7072990605747045,-0.41554201879484903,-2.7102112996402155,-0.679022650259707
gemini-2.5-flash,Morocco,504.0,fr,Multilingual,-0.27705367302337425,0.06706667838453133,-0.12146714817230742,0.09797735219909545
mistral-medium-3.1,Iraq,368.0,fr,Multilingual,-2.0721945983466035,-0.6854615631465995,-3.3706722230073525,-1.1135931166660251
grok-4.1-fast,Kuwait,414.0,fr,Multilingual,-1.2418288375153044,-2.2144543925925206,-1.867710195902701,-3.5752715720739583
deepseek-chat,Jordan,400.0,fr,Multilingual,-1.1719516347036474,-1.2234381400063028,-1.741232458813602,-1.9797354054101477
grok-4.1-fast,Iraq,368.0,fr,Multilingual,-3.017457956371958,0.7059531870536422,-5.081598901033244,1.1265846311563639
claude-sonnet-4.5,Iraq,368.0,fr,Multilingual,-1.648412455441187,-0.7241315627887814,-2.6036265443485487,-1.1758518160899383
deepseek-chat-v3.1,Libya,434.0,fr,Multilingual,-2.5454514514637583,-0.8053068808475886,-4.2272671271494024,-1.3065440781646178
deepseek-chat,Qatar,634.0,fr,Multilingual,-0.48383884326999654,-2.188015692157138,-0.4957483063186937,-3.532705264372992
gemini-3-pro-preview,Kuwait,414.0,fr,Multilingual,-1.3039194102692062,-1.2867129536800777,-1.9800941325872636,-2.081607855424925
mistral-nemo,Yemen,887.0,fr,Multilingual,-0.09024903589509205,-0.428371978156764,0.2166492450298834,-0.69967888483239
