Model,Country,Language,PC1_Self_Expression,PC2_Secular_Rational,Cultural_Region
claude-3-7-sonnet-20250219,Algeria,ar,-1.647451506228367,-1.7093075607579828,African-Islamic
claude-3-7-sonnet-20250219,Algeria,en,-1.6018778734070143,-1.8024464530205817,African-Islamic
claude-sonnet-4.5,Algeria,ar,-1.9800941325873405,-2.0816078554248385,African-Islamic
claude-sonnet-4.5,Algeria,en,-1.7412324588136636,-1.9797354054100604,African-Islamic
deepseek-chat,Algeria,ar,-2.1908937573840874,-2.247956863620596,African-Islamic
deepseek-chat,Algeria,en,-1.8582511310251144,-1.8756565689537408,African-Islamic
deepseek-chat-v3.1,Algeria,ar,-2.1908937573840874,-2.247956863620596,African-Islamic
deepseek-chat-v3.1,Algeria,en,-1.9800941325873405,-2.0816078554248385,African-Islamic
doubao-1-5-pro-32k-250115,Algeria,ar,-2.7148460351671426,-2.0686075304522955,African-Islamic
doubao-1-5-pro-32k-250115,Algeria,en,-2.1733821735396637,-2.2766191977022157,African-Islamic
gemini-2.5-flash,Algeria,ar,-1.9800941325873405,-2.0816078554248385,African-Islamic
gemini-2.5-flash,Algeria,en,-2.1908937573840874,-2.247956863620596,African-Islamic
gemini-2.5-pro,Algeria,ar,-1.9800941325873405,-2.0816078554248385,African-Islamic
gemini-2.5-pro,Algeria,en,-3.1598725982105877,-0.9472441084702021,African-Islamic
gemini-3-pro-preview,Algeria,ar,-2.1908937573840874,-2.247956863620596,African-Islamic
gemini-3-pro-preview,Algeria,en,-1.9800941325873405,-2.0816078554248385,African-Islamic
gemma-3-4b-it,Algeria,ar,1.2008427159840385,-0.5647885812822381,African-Islamic
gemma-3-4b-it,Algeria,en,-0.9000075096230663,1.4944578229172976,African-Islamic
gpt-4o,Algeria,ar,-0.8524603268053227,-1.4074782648896271,African-Islamic
gpt-4o,Algeria,en,-1.5304328340169162,-1.8133863972143025,African-Islamic
gpt-4o-mini,Algeria,ar,-0.39284344983586084,-0.46467141486672037,African-Islamic
gpt-4o-mini,Algeria,en,-2.4072600195293026,-0.8650435007642671,African-Islamic
gpt-5.1,Algeria,ar,-1.7412324588136636,-1.9797354054100604,African-Islamic
gpt-5.1,Algeria,en,-1.9800941325873405,-2.0816078554248385,African-Islamic
grok-4.1-fast,Algeria,ar,-3.3706722230073347,-1.1135931166659603,African-Islamic
grok-4.1-fast,Algeria,en,-4.227267127149362,-1.3065440781645141,African-Islamic
kimi-k2,Algeria,ar,-1.3910782486102673,-1.6360974448248238,African-Islamic
kimi-k2,Algeria,en,-0.7627945531094101,-1.580833157440408,African-Islamic
llama-3.2-3b-instruct,Algeria,ar,1.9058482925645488,3.4163608300863313,African-Islamic
llama-3.2-3b-instruct,Algeria,en,1.3212342590871808,1.6342078134438056,African-Islamic
llama-3.3-70b-instruct,Algeria,ar,-1.9800941325873405,-2.0816078554248385,African-Islamic
llama-3.3-70b-instruct,Algeria,en,-2.4072600195293026,-0.8650435007642671,African-Islamic
mistral-medium-3.1,Algeria,ar,-1.7692945077905935,-1.9152588472290804,African-Islamic
mistral-medium-3.1,Algeria,en,-1.8582511310251144,-1.8756565689537408,African-Islamic
mistral-nemo,Algeria,ar,2.3998213338359924,0.9142277032622504,African-Islamic
mistral-nemo,Algeria,en,-0.6770646167274365,1.0662161232269924,African-Islamic
phi-3-mini-128k-instruct,Algeria,ar,-2.3211847189581167,3.713241328974441,African-Islamic
phi-3-mini-128k-instruct,Algeria,en,1.828446808244109,0.3575129171711133,African-Islamic
