country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,country_code_clean,Country,Numeric,Islamic,country_code_original
8.0,IVS,-1.0125188649842853,-0.28869732742250254,African-Islamic,8,Albania,8,True,8.0
12.0,IVS,-1.1706383545684096,-0.8798837916473212,African-Islamic,12,Algeria,12,True,12.0
20.0,IVS,2.992741368215692,1.4706593371924077,Catholic Europe,20,Andorra,20,False,20.0
31.0,IVS,-1.3545418046246358,-1.1084297655811364,African-Islamic,31,Azerbaijan,31,True,31.0
32.0,IVS,0.7567549099096288,-0.18709922575211818,Latin America,32,Argentina,32,False,32.0
36.0,IVS,3.3721445203428546,0.7189674986207186,English-Speaking,36,Australia,36,False,36.0
40.0,IVS,2.171234737055034,1.1034899962745004,Catholic Europe,40,Austria,40,False,40.0
50.0,IVS,-1.0645857402934342,-1.8692159595215367,African-Islamic,50,Bangladesh,50,True,50.0
51.0,IVS,-1.2431707221833492,-1.020507512503014,Orthodox Europe,51,Armenia,51,False,51.0
56.0,IVS,2.4149483850074116,0.9036150402187092,Catholic Europe,56,Belgium,56,False,56.0
68.0,IVS,-0.5603481911478544,-1.401705260067099,Latin America,68,Bolivia (Plurinational State of),68,False,68.0
70.0,IVS,-0.6853722179234414,0.18610794979627962,Orthodox Europe,70,Bosnia and Herzegovina,70,True,70.0
76.0,IVS,-0.0028654771448103663,-0.3617932901895178,Latin America,76,Brazil,76,False,76.0
100.0,IVS,-0.6235502424783895,1.0870023423670845,Orthodox Europe,100,Bulgaria,100,False,100.0
104.0,IVS,-1.2928946349353347,-1.4839004996780754,West & South Asia,104,Myanmar,104,True,104.0
112.0,IVS,-0.36504208747001465,0.5155900749114866,Orthodox Europe,112,Belarus,112,False,112.0
124.0,IVS,3.146022511035934,0.963113681451155,English-Speaking,124,Canada,124,False,124.0
152.0,IVS,0.20443247528120742,-0.16346280635751148,Latin America,152,Chile,152,False,152.0
156.0,IVS,0.007378668666792123,0.7047612709510219,Confucian,156,China,156,False,156.0
158.0,IVS,-0.154907921604631,1.3506481773145467,Confucian,158,Taiwan (Province of China),158,False,158.0
170.0,IVS,0.123654284367934,-1.9600009252454478,Latin America,170,Colombia,170,False,170.0
191.0,IVS,0.4408285572277462,0.4535276813302275,Catholic Europe,191,Croatia,191,False,191.0
196.0,IVS,-0.24699601282691053,-0.4354450399064968,Orthodox Europe,196,Cyprus,196,False,196.0
197.0,IVS,-0.7278513384252588,-0.20676072837356813,African-Islamic,197,Northern Cyprus,197,True,197.0
203.0,IVS,1.5321689432444998,1.8182749787399584,Catholic Europe,203,Czechia,203,False,203.0
208.0,IVS,4.300651009917309,1.862168620954587,Protestant Europe,208,Denmark,208,False,208.0
218.0,IVS,-0.19374924728853035,-2.083660052951839,Latin America,218,Ecuador,218,False,218.0
231.0,IVS,-1.1153868617136922,-1.2782529892474255,African-Islamic,231,Ethiopia,231,True,231.0
233.0,IVS,0.30705169380097397,1.3518616036806805,Protestant Europe,233,Estonia,233,False,233.0
246.0,IVS,2.9340563393307844,1.3501035556261696,Protestant Europe,246,Finland,246,False,246.0
250.0,IVS,2.6781764890815207,1.2127103654359113,Catholic Europe,250,France,250,False,250.0
268.0,IVS,-1.5389290678552103,-1.1203911791934533,Orthodox Europe,268,Georgia,268,False,268.0
275.0,IVS,-1.738245619150813,-1.0527858062672075,African-Islamic,275,"Palestine, State of",275,False,275.0
276.0,IVS,2.31526533594056,1.8350159795490442,Protestant Europe,276,Germany,276,False,276.0
288.0,IVS,-1.2028386134623137,-2.3556774584433433,African-Islamic,288,Ghana,288,True,288.0
300.0,IVS,-0.02340169000780306,0.24503909204678678,Orthodox Europe,300,Greece,300,False,300.0
320.0,IVS,0.32993467582427755,-1.0912415514948104,Latin America,320,Guatemala,320,False,320.0
332.0,IVS,0.276557237265489,-0.7082437844814639,Latin America,332,Haiti,332,False,332.0
344.0,IVS,0.6066381532306577,1.7837595497721865,Confucian,344,Hong Kong,344,False,344.0
348.0,IVS,0.18829989526018456,0.844619682199704,Catholic Europe,348,Hungary,348,False,348.0
352.0,IVS,3.9963563549894743,1.1559530068160362,Protestant Europe,352,Iceland,352,False,352.0
356.0,IVS,-0.6529013839930805,-0.9288538735017521,West & South Asia,356,India,356,False,356.0
360.0,IVS,-1.2573122236512262,-1.3300418106064391,African-Islamic,360,Indonesia,360,True,360.0
364.0,IVS,-1.4042955746256522,-0.9773218020662986,African-Islamic,364,Iran (Islamic Republic of),364,False,364.0
368.0,IVS,-1.5066854982260145,-0.8808517505109376,African-Islamic,368,Iraq,368,True,368.0
372.0,IVS,1.4789891210249881,-0.6756696733764693,Catholic Europe,372,Ireland,372,False,372.0
380.0,IVS,1.1389265242534143,0.531778178121742,Catholic Europe,380,Italy,380,False,380.0
