country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,country_code_clean,Country,Numeric,Islamic,country_code_original,is_llm,extracted_model
LLM_llm_anthropic_claude-sonnet-4.5_ar,LLM,0.4842134521,1.6264012789,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_ar,,,,LLM_llm_anthropic_claude-sonnet-4.5_ar,True,llm_anthropic_claude-sonnet-4.5_ar
LLM_llm_anthropic_claude-sonnet-4.5_en,LLM,2.9894896985,2.1080421632,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_en,,,,LLM_llm_anthropic_claude-sonnet-4.5_en,True,llm_anthropic_claude-sonnet-4.5_en
LLM_llm_anthropic_claude-sonnet-4.5_es,LLM,4.3439400043,2.179270805,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_es,,,,LLM_llm_anthropic_claude-sonnet-4.5_es,True,llm_anthropic_claude-sonnet-4.5_es
LLM_llm_anthropic_claude-sonnet-4.5_fr,LLM,3.5008844964,2.1848432457,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_fr,,,,LLM_llm_anthropic_claude-sonnet-4.5_fr,True,llm_anthropic_claude-sonnet-4.5_fr
LLM_llm_anthropic_claude-sonnet-4.5_ru,LLM,2.9654669069,2.8550462267,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_ru,,,,LLM_llm_anthropic_claude-sonnet-4.5_ru,True,llm_anthropic_claude-sonnet-4.5_ru
LLM_llm_anthropic_claude-sonnet-4.5_zh-cn,LLM,1.7951813297,1.5986799131,AI Model,anthropic/claude-sonnet-4.5,LLM_llm_anthropic_claude-sonnet-4.5_zh-cn,,,,LLM_llm_anthropic_claude-sonnet-4.5_zh-cn,True,llm_anthropic_claude-sonnet-4.5_zh-cn
LLM_llm_claude-3-7-sonnet-20250219_ar,LLM,2.779707176,-0.5474326424,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_ar,,,,LLM_llm_claude-3-7-sonnet-20250219_ar,True,llm_claude-3-7-sonnet-20250219_ar
LLM_llm_claude-3-7-sonnet-20250219_en,LLM,4.329410101,0.535544808,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_en,,,,LLM_llm_claude-3-7-sonnet-20250219_en,True,llm_claude-3-7-sonnet-20250219_en
LLM_llm_claude-3-7-sonnet-20250219_es,LLM,4.1757793719,0.2553366869,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_es,,,,LLM_llm_claude-3-7-sonnet-20250219_es,True,llm_claude-3-7-sonnet-20250219_es
LLM_llm_claude-3-7-sonnet-20250219_fr,LLM,2.7523149031,0.9777978609,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_fr,,,,LLM_llm_claude-3-7-sonnet-20250219_fr,True,llm_claude-3-7-sonnet-20250219_fr
