Country,Edition,"OVERALL","1) AVAILABILITY","1.1) Usage","1.1.1) Internet users","1.1.2) Fixed-line broadband subscribers","1.1.3) Mobile subscribers","1.1.4) Gender gap in internet access","1.1.5) Gender gap in mobile phone access","1.2) Quality","1.2.1) Average fixed broadband upload speed","1.2.2) Average fixed broadband download speed","1.2.3) Average fixed broadband latency","1.2.4) Average mobile upload speed","1.2.5) Average mobile download speed","1.2.6) Average mobile latency","1.2.7) Bandwidth capacity","1.3) Infrastructure","1.3.1) Network coverage (min. 2G)","1.3.2) Network coverage (min. 3G)","1.3.3) Network coverage (min. 4G)","1.3.4) 5G deployment","1.3.5) Government initiatives to make Wi-Fi available","1.3.6) Private sector initiatives to make Wi-Fi available","1.3.7) Unlicensed spectrum policy","1.3.8) Internet exchange points","1.4) Electricity","1.4.1) Urban electricity access","1.4.2) Rural electricity access","2) AFFORDABILITY","2.1) Price","2.1.1) Smartphone cost (handset)","2.1.2) Mobile phone cost (prepaid tariff)","2.1.3) Mobile phone cost (postpaid tariff)","2.1.4) Fixed-line monthly broadband cost","2.2) Competitive environment","2.2.1) Average revenue per user (ARPU, annualized)","2.2.2) Wireless operators' market share","2.2.3) Broadband operators' market share","3) RELEVANCE","3.1) Local content","3.1.1) Availability of local news in local languages","3.1.2) Concentration of websites using country-level domains","3.1.3) Availability of e-Government services in the local language","3.2) Relevant content","3.2.1) e-Finance content","3.2.2) Value of e-finance","3.2.3) e-Health content","3.2.4) Value of e-health","3.2.5) e-Entertainment usage","3.2.6) e-Commerce content","3.2.7) Value of e-Commerce","3.2.8) Open data policies","4) READINESS","4.1) Literacy","4.1.1) Level of literacy","4.1.2) Educational attainment","4.1.3) Support for digital literacy","4.1.4) Level of web accessibility","4.2) Trust & Safety","4.2.1) Privacy regulations","4.2.2) Trust in online privacy","4.2.3) Trust in Government websites and apps","4.2.4) Trust in Non-government websites and apps","4.2.5) Trust in information from social media","4.2.6) e-Commerce safety","4.3) Policy","4.3.1) National female e-inclusion policies","4.3.1.1) Comprehensive female e-inclusion plan","4.3.1.2) Female digital skills training plan","4.3.1.3) Female STEM education plan","4.3.2) Government e-inclusion strategy","4.3.3) National broadband strategy","4.3.4) Funding for broadband buildout","4.3.5) Technology-neutrality policy for spectrum use","4.3.6) National digital identification system","4.3.7) Government efforts to promote 5G"
Algeria,E1,n/a,n/a,n/a,31.7,12.2,78.9,n/a,n/a,n/a,0.3,0.4,70.4,1.9,2.2,50.3,1,n/a,98.4,46,0,n/a,50,0,n/a,0,n/a,100,96.7,n/a,n/a,36.8,91.5,92.4,98.9,n/a,10.5,50,0,n/a,n/a,25,0,50,n/a,50,n/a,33.3,n/a,n/a,31.4,n/a,n/a,n/a,n/a,75.5,51.2,33.3,0,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,0,100,n/a,100,n/a
Algeria,E2,42.5,53.5,56.9,47.1,15,86.1,62.6,73.5,23.4,2.4,2.6,69.2,8.5,5,74.8,1,35.4,96.1,83.4,3.6,0,100,0,0,0,98.4,100,96.9,50.8,81.4,38.4,91.5,96.9,98.9,20.1,10.3,50,0,27.8,25,25,0,50,30.7,50,37.8,33.3,40,33.3,37.5,13.3,0,38,40,75.5,51.2,33.3,0,45.3,0,60,50,55.6,65.4,40.9,28.6,0,0,0,0,0,0,100,0,100,0
Algeria,E3,48.9,55.6,59.2,54.1,16.5,80.9,72.5,72.2,25.1,0.8,0.6,74.1,13.9,5.2,80.5,0.8,39.6,96.1,90,30.5,0,100,0,0,0,98.4,100,96.9,51.1,82.4,37.4,96.9,96.6,98.7,19.8,9.4,50,0,38,44.4,50,33.3,50,31.6,50,37.4,33.3,39.5,33.1,37.5,22.1,0,51,40.2,75.5,52,33.3,0,58.1,100,36.7,50,52.2,61.9,47.7,54.8,0,0,0,0,50,33.3,100,100,100,0
Algeria,E4,53.4,58.7,61.7,74.3,15.5,81.8,62.9,74.1,25.6,0.5,0.7,74,19.5,4.2,79.4,0.7,47.5,96.2,97.5,52.8,50,50,0,33.3,0,100,100,100,50.5,81.6,34.3,97,96.6,98.7,19.4,8.2,50,0,54.9,61.1,100,33.3,50,48.8,50,27,66.7,6.7,83.3,37.7,68.9,50,49.6,40.6,77,52,33.3,0,48.7,100,45.7,25,40.7,65.4,15.6,59.5,0,0,0,0,50,66.7,100,100,100,0
Algeria,E5,53.3,59.5,63.6,74.3,17.7,79.5,73.3,73.3,28.4,0.2,0.7,78.4,26.8,6.8,85.1,0.7,47.6,96.2,97.7,53.6,50,50,0,33.3,0,98.3,100,96.7,50.2,81.1,32.9,96.3,96.6,98.7,19.3,7.9,50,0,52.3,61.1,100,33.3,50,43.5,50,37.8,66.7,16.7,55.6,37.7,33.3,50,51.3,40.6,77,52,33.3,0,53.7,100,62.9,40.6,40.7,61.5,16.4,59.5,0,0,0,0,50,66.7,100,100,100,0
Angola,E1,n/a,n/a,n/a,14.4,1.2,20.2,n/a,n/a,n/a,2.3,4,62.8,19.2,11.3,64.4,0.2,n/a,98,60.7,7,n/a,100,0,n/a,5.1,n/a,39.6,17.9,n/a,n/a,33,89.7,38.8,96.9,n/a,6.1,0,0,n/a,n/a,50,0,50,n/a,100,n/a,66.7,n/a,n/a,19.4,n/a,n/a,n/a,n/a,64.4,26,66.7,50,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,33.3,0,n/a,50,n/a
Angola,E2,40.7,30.6,27.2,11,0.6,15.5,45.3,63.4,28.3,1.8,4.2,80.9,20.8,11.8,78.1,0.3,31.8,80.4,62,8,0,100,0,0,4.4,35.3,65.4,5.2,48.1,77.6,33.8,89.7,89.5,97.3,18.7,6.1,0,50,41,33.3,50,0,50,48.7,100,50.8,66.7,67.7,56.1,27.8,20.1,0,42.9,52.6,64.4,29.1,66.7,50,57,100,45.4,50.3,50.7,40.6,54.9,19,0,0,0,0,50,33.3,0,0,50,0
Angola,E3,45.5,32.1,27.5,11,0.7,15.1,46.2,64.6,30.9,2.1,4.9,85,26.6,13.9,83.7,0.4,34.7,80.4,85,8,0,100,0,0,4.3,35.3,65.4,5.2,57.8,80.2,44.2,92.8,87.9,95.9,35.4,6.3,0,100,46,44.4,50,33.3,50,47.5,100,48.6,66.7,33.3,50,27.8,53.3,0,46,52.4,64.4,28.3,66.7,50,64.3,100,57.1,75,59.3,50,44.2,21.4,0,0,0,0,50,0,0,0,100,0
Angola,E4,46.6,32.8,30.3,11,0.8,13.5,57,69.4,32.9,2.8,5.5,85.1,35.8,18.6,82.4,0.4,34.7,80.4,85,8,0,100,0,0,4.1,33.2,60.3,6.1,56.6,77.7,30.5,96.7,87.9,95.9,35.4,6.1,0,100,46.1,44.4,50,33.3,50,47.7,100,48.6,66.7,33.3,50,29.3,53.3,0,50.8,52.6,64.4,29.1,66.7,50,64.3,100,57.1,75,59.3,50,44.2,35.7,0,0,0,0,50,100,0,0,100,0
Angola,E5,39.2,32.7,29.7,11,0.8,17,54.3,65.5,35.5,2.7,5.9,86.6,44.5,21.8,86.9,0.4,34.3,80.4,72,18,0,100,0,0,4,31.1,56.4,5.9,48.5,78.3,31.6,97.6,87.9,95.9,18.7,6.1,0,50,23.8,16.7,50,0,0,30.9,100,45.9,0,20,5.6,29.3,46.7,0,51.8,44.2,64.4,29.1,33.3,50,54.1,100,42.9,50,48.1,46.2,37.4,57.1,0,0,0,0,0,100,100,100,100,0
