country,ef_epi
Algeria,32.59
Argentina,49.69
Austria,59.63
Belarus,55.0
Belgium,59.53
Bolivia,40.84
Brazil,55.96
Burkina Faso,35.0
Chile,54.61
China,42.3
Colombia,49.7
Ecuador,47.65
Egypt,40.77
France,62.99
Germany,57.97
Guatemala,40.0
Haiti,35.0
Hong Kong,55.0
Iraq,40.0
Italy,62.58
Japan,58.46
Jordan,50.76
Kazakhstan,42.86
"Korea, Republic of",50.07
Kuwait,45.0
Kyrgyzstan,45.2
Lebanon,45.0
Libya,35.0
Luxembourg,57.13
Macao,50.0
Mali,30.0
Mexico,49.45
Morocco,45.0
Nicaragua,38.0
Palestine,40.0
Peru,53.22
Portugal,60.43
Qatar,50.05
Russian Federation,55.0
Spain,62.13
Switzerland,54.2
"Taiwan, Province of China",52.0
Tunisia,47.8
Uruguay,53.28
Venezuela,33.0
Yemen,30.0
