country_code,Country,year,weight,data_source,model_name,model_region,cultural_region,language,entity_id,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003
466.0,Mali,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Mali_en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0
818.0,Egypt,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Egypt_fr,3.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,1.0
12.0,Algeria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Algeria_fr,2.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,3.0,1.0
466.0,Mali,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Mali_fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,3.0,1.0
372.0,Ireland,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_Ireland_en-native,2.0,2.0,3.0,1.0,5.0,8.0,7.0,1.0,4.0,1.0
484.0,Mexico,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Mexico_es,2.0,2.0,1.0,1.0,8.0,8.0,4.0,1.0,3.0,1.0
504.0,Morocco,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Morocco_fr,2.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,3.0,1.0
368.0,Iraq,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Iraq_fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,3.0,1.0
417.0,Kyrgyzstan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Kyrgyzstan_en,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0
756.0,Switzerland,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,de,deepseek-chat_Switzerland_de,2.0,1.0,1.0,2.0,5.0,8.0,6.0,1.0,3.0,1.0
434.0,Libya,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Libya_ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0
275.0,Palestine,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,fr,deepseek-chat_Palestine_fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,3.0,1.0
756.0,Switzerland,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,en,deepseek-chat_Switzerland_en,1.0,1.0,2.0,1.0,5.0,8.0,7.0,1.0,1.0,2.0
156.0,China,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,en,deepseek-chat_China_en,2.0,2.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0
858.0,Uruguay,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Uruguay_en,1.0,2.0,3.0,2.0,6.0,8.0,6.0,1.0,3.0,1.0
887.0,Yemen,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Yemen_en,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0
442.0,Luxembourg,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,de,deepseek-chat_Luxembourg_de,1.0,1.0,1.0,2.0,7.0,9.0,7.0,1.0,3.0,1.0
422.0,Lebanon,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Lebanon_fr,3.0,2.0,1.0,2.0,9.0,2.0,4.0,2.0,3.0,1.0
56.0,Belgium,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Belgium_en,2.0,2.0,3.0,1.0,4.0,8.0,7.0,2.0,3.0,1.0
646.0,Rwanda,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Rwanda_fr,2.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,3.0,1.0
862.0,Venezuela,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,es,deepseek-chat_Venezuela_es,3.0,2.0,1.0,2.0,8.0,5.0,3.0,2.0,3.0,1.0
36.0,Australia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,English-Speaking,en-native,deepseek-chat_Australia_en-native,1.0,1.0,3.0,1.0,4.0,10.0,7.0,1.0,4.0,1.0
818.0,Egypt,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Egypt_ar,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,3.0,1.0
646.0,Rwanda,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Rwanda_en-native,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0
400.0,Jordan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Jordan_fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,1.0
756.0,Switzerland,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,fr,deepseek-chat_Switzerland_fr,2.0,1.0,1.0,2.0,5.0,8.0,6.0,1.0,2.0,2.0
634.0,Qatar,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Qatar_fr,1.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0
788.0,Tunisia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Tunisia_fr,3.0,2.0,1.0,2.0,9.0,2.0,3.0,2.0,3.0,1.0
484.0,Mexico,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Mexico_en,2.0,2.0,1.0,2.0,8.0,6.0,4.0,1.0,3.0,1.0
630.0,Puerto Rico,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Puerto Rico_es,2.0,2.0,1.0,2.0,8.0,8.0,5.0,1.0,3.0,1.0
156.0,China,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,zh-cn,deepseek-chat_China_zh-cn,2.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0
170.0,Colombia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Colombia_en,2.0,2.0,1.0,2.0,9.0,7.0,3.0,1.0,3.0,1.0
