country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,language,country_code_clean,Country,Numeric,Islamic,Numeric_str,country_code_original
Albania,IVS,-1.0196807910090924,-0.2870232764724841,African-Islamic,,,Albania,Albania,8.0,True,8,Albania
Algeria,IVS,-1.1684919772694518,-0.8843775026590693,African-Islamic,,,Algeria,Algeria,12.0,True,12,Algeria
Andorra,IVS,2.991814545576228,1.4738539429009634,Catholic Europe,,,Andorra,Andorra,20.0,False,20,Andorra
Argentina,IVS,0.7588465683628217,-0.18839961155254006,Latin America,,,Argentina,Argentina,32.0,False,32,Argentina
Armenia,IVS,-1.2443732651999506,-1.0226080226018668,Orthodox Europe,,,Armenia,Armenia,51.0,False,51,Armenia
Australia,IVS,3.3731888573530355,0.7224185792325369,English-Speaking,,,Australia,Australia,36.0,False,36,Australia
Austria,IVS,2.1619194749710022,1.1115751232312026,Catholic Europe,,,Austria,Austria,40.0,False,40,Austria
Azerbaijan,IVS,-1.3553766709932165,-1.1106667997338815,African-Islamic,,,Azerbaijan,Azerbaijan,31.0,True,31,Azerbaijan
Bangladesh,IVS,-1.0608793538407333,-1.8733499224489254,West & South Asia,,,Bangladesh,Bangladesh,50.0,False,50,Bangladesh
Belarus,IVS,-0.37047845317933054,0.5164441929672998,Orthodox Europe,,,Belarus,Belarus,112.0,False,112,Belarus
Belgium,IVS,2.404857425569012,0.9130014344111256,Catholic Europe,,,Belgium,Belgium,56.0,False,56,Belgium
Bolivia (Plurinational State of),IVS,-0.5582961713593018,-1.4042892063938939,Latin America,,,Bolivia (Plurinational State of),Bolivia (Plurinational State of),68.0,False,68,Bolivia (Plurinational State of)
Bosnia and Herzegovina,IVS,-0.6934560775472274,0.18817921668503496,Orthodox Europe,,,Bosnia and Herzegovina,Bosnia and Herzegovina,70.0,False,70,Bosnia and Herzegovina
Brazil,IVS,-0.002466917339267943,-0.36373183260508996,Latin America,,,Brazil,Brazil,76.0,False,76,Brazil
Bulgaria,IVS,-0.6310455690760195,1.088064110078313,Orthodox Europe,,,Bulgaria,Bulgaria,100.0,False,100,Bulgaria
Burkina Faso,IVS,-0.9197270273329913,-1.2545214971095526,African-Islamic,,,Burkina Faso,Burkina Faso,854.0,True,854,Burkina Faso
Canada,IVS,3.146362955902286,0.966201258462195,English-Speaking,,,Canada,Canada,124.0,False,124,Canada
Chile,IVS,0.20612160867109586,-0.16580090911660458,Latin America,,,Chile,Chile,152.0,False,152,Chile
China,IVS,0.009578243466834278,0.6999859967136189,Confucian,,,China,China,156.0,False,156,China
Colombia,IVS,0.12743159040108035,-1.9615807644787275,Latin America,,,Colombia,Colombia,170.0,False,170,Colombia
Croatia,IVS,0.4318617668435138,0.4582967358518535,Catholic Europe,,,Croatia,Croatia,191.0,False,191,Croatia
Cyprus,IVS,-0.24708279834180744,-0.43712652845884603,Orthodox Europe,,,Cyprus,Cyprus,196.0,False,196,Cyprus
Czechia,IVS,1.5230587123355912,1.8239812402770161,Catholic Europe,,,Czechia,Czechia,203.0,False,203,Czechia
Denmark,IVS,4.289165264897317,1.8756004890356428,Protestant Europe,,,Denmark,Denmark,208.0,False,208,Denmark
Ecuador,IVS,-0.18928827381362917,-2.0859676706962094,Latin America,,,Ecuador,Ecuador,218.0,False,218,Ecuador
Egypt,IVS,-2.113984037760701,-0.9003414995309504,African-Islamic,,,Egypt,Egypt,818.0,True,818,Egypt
Estonia,IVS,0.29961354239180926,1.3541784571850264,West & South Asia,,,Estonia,Estonia,233.0,False,233,Estonia
Ethiopia,IVS,-1.1112824753056407,-1.283725551762104,African-Islamic,,,Ethiopia,Ethiopia,231.0,True,231,Ethiopia
Finland,IVS,2.9275782979032066,1.357381101078991,Protestant Europe,,,Finland,Finland,246.0,False,246,Finland
France,IVS,2.6696541380592955,1.2213394322065074,Catholic Europe,,,France,France,250.0,False,250,France
Georgia,IVS,-1.540482467922933,-1.1227762295613364,Orthodox Europe,,,Georgia,Georgia,268.0,False,268,Georgia
Germany,IVS,2.309389332825544,1.8394442817988996,Protestant Europe,,,Germany,Germany,276.0,False,276,Germany
Ghana,IVS,-1.198265900090015,-2.3598125642220653,African-Islamic,,,Ghana,Ghana,288.0,True,288,Ghana
Greece,IVS,-0.026281167866480236,0.245126883771947,Orthodox Europe,,,Greece,Greece,300.0,False,300,Greece
Guatemala,IVS,0.33256855385360823,-1.092793700850252,Latin America,,,Guatemala,Guatemala,320.0,False,320,Guatemala
Haiti,IVS,0.2766574901233601,-0.7086334401497004,Latin America,,,Haiti,Haiti,332.0,False,332,Haiti
Hong Kong,IVS,0.6055869728751183,1.7811227717756704,Confucian,,,Hong Kong,Hong Kong,344.0,False,344,Hong Kong
Hungary,IVS,0.18143155996127427,0.8472298974176273,Catholic Europe,,,Hungary,Hungary,348.0,False,348,Hungary
Iceland,IVS,3.9872506610868115,1.16804254384702,Protestant Europe,,,Iceland,Iceland,352.0,False,352,Iceland
India,IVS,-0.6481226397375877,-0.9340563633005776,West & South Asia,,,India,India,356.0,False,356,India
Indonesia,IVS,-1.2524197564962225,-1.336422314268333,West & South Asia,,,Indonesia,Indonesia,360.0,False,360,Indonesia
Iran (Islamic Republic of),IVS,-1.4007132119187988,-0.9830299173211438,West & South Asia,,,Iran (Islamic Republic of),Iran (Islamic Republic of),364.0,False,364,Iran (Islamic Republic of)
Iraq,IVS,-1.5074303162590816,-0.8842849188183467,African-Islamic,,,Iraq,Iraq,368.0,True,368,Iraq
Ireland,IVS,1.4740401147432378,-0.6696631303608473,Catholic Europe,,,Ireland,Ireland,372.0,False,372,Ireland
Italy,IVS,1.1315698446375602,0.5367478892333681,Catholic Europe,,,Italy,Italy,380.0,False,380,Italy
Japan,IVS,1.7081299495744457,2.115455635410611,Confucian,,,Japan,Japan,392.0,False,392,Japan
