model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
mistralai/mistral-nemo,,Albania,Albania,Albania,Orthodox Europe,0.19863162817505758,-1.1598219472555775,-0.1549895827734707,-1.0132186049319403,-0.289011908268191
mistralai/mistral-nemo,,Algeria,Algeria,Algeria,African-Islamic,0.7255714111022997,-1.1598219472555775,-0.1549895827734707,-1.1706244952057476,-0.8804805734596176
mistralai/mistral-nemo,,Andorra,Andorra,Andorra,Catholic Europe,3.0619674992602475,0.039392060318656275,0.6646621395597734,2.993354501299675,1.470733391869092
mistralai/mistral-nemo,,Argentina,Argentina,Argentina,Latin America,1.8346786402869502,1.2714518600633236,1.5736783060806516,0.7570096577845121,-0.1873994700665856
mistralai/mistral-nemo,,Australia,Australia,Australia,English-Speaking,1.922962861370866,3.1170888117796203,2.6245473605321235,3.3728701819328286,0.7186716938386802
mistralai/mistral-nemo,,Austria,Austria,Austria,Catholic Europe,1.8790976210550066,0.29712333751559883,0.9662660966391778,2.1712390405238744,1.1030074627007396
mistralai/mistral-nemo,,Azerbaijan,Azerbaijan,Azerbaijan,Orthodox Europe,1.379066446229003,-0.7990806919187216,0.1529001942724615,-1.354831078867641,-1.1092272836475852
mistralai/mistral-nemo,,Bangladesh,Bangladesh,Bangladesh,West & South Asia,1.7174759026305177,-1.1598219472555775,-0.1549895827734707,-1.0647255076925786,-1.8698307250659434
mistralai/mistral-nemo,,Belarus,Belarus,Belarus,Orthodox Europe,0.3803780921364602,-0.7447973877833451,0.49208726462528485,-0.3651024989010597,0.5148750757102118
google/gemini-2.0-flash-001,,Belgium,Belgium,Belgium,Catholic Europe,2.3395219304890476,0.2028371108601125,1.665420909137135,2.414771046604779,0.903376863730108
mistralai/mistral-nemo,,Belgium,Belgium,Belgium,Catholic Europe,1.8011571433981146,0.7770191631995282,1.6530006517842293,2.414771046604779,0.903376863730108
mistralai/mistral-nemo,,Bolivia (Plurinational State of),Bolivia (Plurinational State of),Bolivia (Plurinational State of),Latin America,2.757911920124789,-0.05648601373690132,1.3094487929832739,-0.560565216213996,-1.4020051189976128
mistralai/mistral-nemo,,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Orthodox Europe,0.28483929022143906,-0.527325339822907,0.4222738091865016,-0.6858089149157537,0.18559601622813549
mistralai/mistral-nemo,,Bulgaria,Bulgaria,Bulgaria,Orthodox Europe,0.7208919541655219,-0.8057351412266429,0.38911041816266345,-0.6238685827697323,1.0866846181554843
mistralai/mistral-nemo,,Burkina Faso,Burkina Faso,Burkina Faso,African-Islamic,1.1985482003074353,-0.9209561988053169,-0.05305349865278081,-0.9221149989306607,-1.251601138774967
deepseek/deepseek-chat-v3-0324,,Canada,Canada,Canada,English-Speaking,2.3602624970606176,3.253697111640802,3.320746354948442,3.146714559572952,0.9629096793952194
mistralai/mistral-nemo,,Canada,Canada,Canada,English-Speaking,1.473443434188127,2.6674054646768433,2.356214507960015,3.146714559572952,0.9629096793952194
mistralai/mistral-nemo:free,,Canada,Canada,Canada,English-Speaking,1.7759430743635218,3.355954560229881,2.7264834446528132,3.146714559572952,0.9629096793952194
mistralai/mistral-nemo:free,,Chile,Chile,Chile,Latin America,1.334306735974555,0.3159888662622805,1.1659339695978925,0.20462281647641756,-0.16371713825791032
mistralai/mistral-nemo:free,,Colombia,Colombia,Colombia,Latin America,2.5437402294564633,-0.1994736881316046,0.5627260554390836,0.12355591317914216,-1.9604200425172438
mistralai/mistral-nemo,,Croatia,Croatia,Croatia,Catholic Europe,0.6409208248722807,0.10517126760976364,0.9995372011464738,0.4403911056622759,0.45327063258217654
mistralai/mistral-nemo:free,,Croatia,Croatia,Croatia,Catholic Europe,0.8787627133235187,-0.43833943658186547,0.46078997131839394,0.4403911056622759,0.45327063258217654
mistralai/mistral-nemo,,Cyprus,Cyprus,Cyprus,Catholic Europe,1.7293929681356328,-0.5965991036088772,1.2578348854455117,-0.24700977688336104,-0.43585556468892
mistralai/mistral-nemo:free,,Cyprus,Cyprus,Cyprus,Catholic Europe,1.0549915076835632,-0.49443573617735315,0.5897113399798518,-0.24700977688336104,-0.43585556468892
deepseek/deepseek-chat-v3-0324,,Czechia,Czechia,Czechia,Catholic Europe,1.4744781681895522,0.05779871949870308,1.833899202272417,1.532191687275604,1.8180484913218031
google/gemini-2.0-flash-001,,Czechia,Czechia,Czechia,Catholic Europe,2.273789763150543,-0.7196924678202566,1.503187190053442,1.532191687275604,1.8180484913218031
mistralai/mistral-nemo,,Czechia,Czechia,Czechia,Catholic Europe,1.3119816564534608,0.3464796487214894,1.256458936132061,1.532191687275604,1.8180484913218031
mistralai/mistral-nemo:free,,Czechia,Czechia,Czechia,Catholic Europe,1.2511807311231067,0.3489222813829543,1.4114445869969587,1.532191687275604,1.8180484913218031
qwen/qwq-32b,,Czechia,Czechia,Czechia,Catholic Europe,2.607128910512206,-1.047500308036439,1.4408080304065758,1.532191687275604,1.8180484913218031
mistralai/mistral-nemo,,Ecuador,Ecuador,Ecuador,Latin America,2.5943838112612996,-0.5973163637604709,0.4785946223549008,-0.193802929963438,-2.0842171672387155
mistralai/mistral-nemo:free,,Ecuador,Ecuador,Ecuador,Latin America,2.753694103782278,-0.31646392969527004,0.6667436642436364,-0.193802929963438,-2.0842171672387155
deepseek/deepseek-chat-v3-0324,,Estonia,Estonia,Estonia,Orthodox Europe,0.6190372008420955,-0.18106702895155746,1.7319631181517265,0.3071191629609026,1.3513303580634395
mistralai/mistral-nemo,,Estonia,Estonia,Estonia,Orthodox Europe,0.23724318552472803,0.1010032624384275,1.4688061625072895,0.3071191629609026,1.3513303580634395
mistralai/mistral-nemo,,Finland,Finland,Finland,Protestant Europe,1.2288024086636578,3.1451369615773643,2.5600866762013945,2.9345002551031145,1.3494721473676754
google/gemini-2.0-flash-001,,France,France,France,Catholic Europe,2.5853888808091505,0.20772237618304265,1.9753922108669302,2.678065738991412,1.2127393836642597
mistralai/mistral-nemo,,France,France,France,Catholic Europe,1.9541240063898655,0.8150723360460689,1.8025327482686004,2.678065738991412,1.2127393836642597
qwen/qwq-32b,,France,France,France,Catholic Europe,2.8160142027855324,0.938495806752297,3.4271992367976236,2.678065738991412,1.2127393836642597
mistralai/mistral-nemo,,Germany,Germany,Germany,Protestant Europe,0.8245296386854936,2.6553006328587196,2.5861795154927245,2.315649804408258,1.834856389398668
mistralai/mistral-nemo,,Greece,Greece,Greece,Orthodox Europe,0.4943006288597108,-0.4486665749838392,0.49660083993635173,-0.023417701032204013,0.24461570764880602
mistralai/mistral-nemo,,Haiti,Haiti,Haiti,Latin America,1.2216698643385515,-0.6820904503550561,0.04888258546790882,0.27646484510887004,-0.7085136140017217
mistralai/mistral-nemo,,Hong Kong,Hong Kong,Hong Kong,Confucian,1.0049592058433254,-0.3693147973960231,1.546986962596463,0.6074970233685304,1.7831684017992189
deepseek/deepseek-chat-v3-0324,,Hungary,Hungary,Hungary,Catholic Europe,0.8800231579129284,-0.6356356413772651,1.1536589638498231,0.18817575953930057,0.8441827382961818
mistralai/mistral-nemo,,Hungary,Hungary,Hungary,Catholic Europe,0.5976128283552725,-0.3609787870533508,0.6084490398748321,0.18817575953930057,0.8441827382961818
mistralai/mistral-nemo,,Iceland,Iceland,Iceland,Protestant Europe,1.642517154411439,3.1451369615773643,2.5600866762013945,3.9965654216408972,1.1554756339802066
