model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
anthropic/claude-3.7-sonnet,,Algeria,Algeria,Algeria,,0.7873723450933433,-1.3932345052699677,-1.6355547101548726,-1.1707009180950665,-0.880283889589917
google/gemini-2.0-flash-001,,Algeria,Algeria,Algeria,,1.0222028064391493,-2.1812604614599125,-0.7264398555609471,-1.1707009180950665,-0.880283889589917
mistralai/mistral-nemo,,Algeria,Algeria,Algeria,,1.9221645157391571,0.68178639036649,-1.3931261631551979,-1.1707009180950665,-0.880283889589917
openai/gpt-4o-mini,,Algeria,Algeria,Algeria,,1.197360432922677,-0.32458407219892793,-1.727490056599784,-1.1707009180950665,-0.880283889589917
qwen/qwq-32b,,Algeria,Algeria,Algeria,,0.32061874603048307,-1.0795821100301062,-0.5728855435908203,-1.1707009180950665,-0.880283889589917
anthropic/claude-3.7-sonnet,,Argentina,Argentina,Argentina,,1.3701142466835303,1.7906814506482371,0.7114308789652237,0.7569846031038295,-0.18783764396990724
deepseek/deepseek-chat-v3-0324,,Argentina,Argentina,Argentina,,2.7383274210079964,0.48200586564685655,2.536648318297264,0.7569846031038295,-0.18783764396990724
google/gemini-2.0-flash-001,,Argentina,Argentina,Argentina,,1.940202342072395,0.26516393665993676,1.688994143975377,0.7569846031038295,-0.18783764396990724
meta-llama/llama-3.3-70b-instruct,,Argentina,Argentina,Argentina,,2.994419488293972,1.5836842170766618,2.6902026302673914,0.7569846031038295,-0.18783764396990724
mistralai/mistral-nemo,,Argentina,Argentina,Argentina,,3.274592527124659,3.3480609844364486,1.814480863361262,0.7569846031038295,-0.18783764396990724
openai/gpt-4o-mini,,Argentina,Argentina,Argentina,,4.8788106156758095,4.3978788659416646,3.0597279043240015,0.7569846031038295,-0.18783764396990724
anthropic/claude-3.7-sonnet,,Australia,Australia,Australia,,2.7466079946716406,5.268998026880507,2.704891697121624,3.3731457734392,0.7175317122382385
deepseek/deepseek-chat-v3-0324,,Australia,Australia,Australia,,3.4521671132850154,6.77280052294806,0.11769393234400229,3.3731457734392,0.7175317122382385
google/gemini-2.0-flash-001,,Australia,Australia,Australia,,2.4323570109097714,3.2000540645763986,3.1437221187902207,3.3731457734392,0.7175317122382385
meta-llama/llama-3.3-70b-instruct,,Australia,Australia,Australia,,2.7202790439540574,5.525005625009333,2.38168833232427,3.3731457734392,0.7175317122382385
mistralai/mistral-nemo,,Australia,Australia,Australia,,3.6723855552419664,6.855940023408309,-0.447182793008414,3.3731457734392,0.7175317122382385
openai/gpt-4o-mini,,Australia,Australia,Australia,,3.8711794072599903,7.228501705306466,1.0671896047699128,3.3731457734392,0.7175317122382385
deepseek/deepseek-chat-v3-0324,,Belarus,Belarus,Belarus,,1.3353090285655111,-0.54061904093212,-0.8079312886637603,-0.3666450254637216,0.5159959161743195
google/gemini-2.0-flash-001,,Belarus,Belarus,Belarus,,0.4697966763277092,-0.724096372730575,0.8208523601371686,-0.3666450254637216,0.5159959161743195
mistralai/mistral-nemo,,Belarus,Belarus,Belarus,,1.7583339247047636,0.26001527643724753,2.158869939582397,-0.3666450254637216,0.5159959161743195
openai/gpt-4o-mini,,Belarus,Belarus,Belarus,,0.2771505060222734,-0.6401614947245239,0.4712617677918276,-0.3666450254637216,0.5159959161743195
anthropic/claude-3.7-sonnet,,Brazil,Brazil,Brazil,,1.8229600323916089,1.5426146107018797,0.6034762516811149,-0.0037563778876813156,-0.36188380826841465
deepseek/deepseek-chat-v3-0324,,Brazil,Brazil,Brazil,,1.8716045493129776,1.7784097682985123,-0.9335370391670818,-0.0037563778876813156,-0.36188380826841465
google/gemini-2.0-flash-001,,Brazil,Brazil,Brazil,,1.536859280433089,-0.2782625116558711,1.1502613006338207,-0.0037563778876813156,-0.36188380826841465
meta-llama/llama-3.3-70b-instruct,,Brazil,Brazil,Brazil,,2.3353265734385777,1.3619086274478924,1.5325050899808748,-0.0037563778876813156,-0.36188380826841465
openai/gpt-4o-mini,,Brazil,Brazil,Brazil,,5.0903921737564914,4.356515805306023,2.264923944710197,-0.0037563778876813156,-0.36188380826841465
