model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
anthropic/claude-3.7-sonnet,,China,China,China,Confucian,0.45620972118633263,0.4545640367142259,0.6126011239691079,0.007694806286691205,0.7044444721333286
deepseek/deepseek-chat-v3-0324,,China,China,China,Confucian,0.6951026719903409,0.49552706076772013,0.20928044264808007,0.007694806286691205,0.7044444721333286
google/gemini-2.0-flash-001,,China,China,China,Confucian,1.2587125329057942,-0.8107147605434152,-0.2518834117093824,0.007694806286691205,0.7044444721333286
meta-llama/llama-3.3-70b-instruct,,China,China,China,Confucian,0.7207418737029572,0.3456083197625961,0.06782582182592617,0.007694806286691205,0.7044444721333286
mistralai/mistral-nemo,,China,China,China,Confucian,2.217198223041149,2.0881395210883262,-0.062183044272632465,0.007694806286691205,0.7044444721333286
openai/gpt-4o-mini,,China,China,China,Confucian,0.9030683093152976,0.4803510915852808,-0.06505433050208044,0.007694806286691205,0.7044444721333286
anthropic/claude-3.7-sonnet,,Spain,Spain,Spain,Catholic Europe,2.9062156944004616,3.8948308496344666,2.6641109259890188,1.6707946177271054,0.7933483805164876
deepseek/deepseek-chat-v3-0324,,Spain,Spain,Spain,Catholic Europe,1.4697348515216757,3.1162583255267284,1.0593468827897292,1.6707946177271054,0.7933483805164876
google/gemini-2.0-flash-001,,Spain,Spain,Spain,Catholic Europe,1.5956895488111433,0.6242935854049615,1.997948200180179,1.6707946177271054,0.7933483805164876
meta-llama/llama-3.3-70b-instruct,,Spain,Spain,Spain,Catholic Europe,2.5063957895358375,3.90426374087051,1.9307293763872668,1.6707946177271054,0.7933483805164876
mistralai/mistral-nemo,,Spain,Spain,Spain,Catholic Europe,3.3944358627202087,4.98588925574002,1.5229663402317835,1.6707946177271054,0.7933483805164876
openai/gpt-4o-mini,,Spain,Spain,Spain,Catholic Europe,5.4314298384499695,7.101748981911174,0.865214813255756,1.6707946177271054,0.7933483805164876
