Country,Cultural_Region,PC1_Self_Expression,PC2_Secular_Rational
Albania,African-Islamic,-1.0125188649842853,-0.28869732742250254
Algeria,African-Islamic,-1.1706383545684096,-0.8798837916473212
Andorra,Catholic Europe,2.992741368215692,1.4706593371924077
Azerbaijan,African-Islamic,-1.3545418046246358,-1.1084297655811364
Argentina,Latin America,0.7567549099096288,-0.18709922575211818
Australia,English-Speaking,3.3721445203428546,0.7189674986207186
Austria,Catholic Europe,2.171234737055034,1.1034899962745004
Bangladesh,African-Islamic,-1.0645857402934342,-1.8692159595215367
Armenia,Orthodox Europe,-1.2431707221833492,-1.020507512503014
Belgium,Catholic Europe,2.4149483850074116,0.9036150402187092
Bolivia (Plurinational State of),Latin America,-0.5603481911478544,-1.401705260067099
Bosnia and Herzegovina,Orthodox Europe,-0.6853722179234414,0.18610794979627962
Brazil,Latin America,-0.0028654771448103663,-0.3617932901895178
Bulgaria,Orthodox Europe,-0.6235502424783895,1.0870023423670845
Myanmar,West & South Asia,-1.2928946349353347,-1.4839004996780754
Belarus,Orthodox Europe,-0.36504208747001465,0.5155900749114866
Canada,English-Speaking,3.146022511035934,0.963113681451155
Chile,Latin America,0.20443247528120742,-0.16346280635751148
China,Confucian,0.007378668666792123,0.7047612709510219
Taiwan (Province of China),Confucian,-0.154907921604631,1.3506481773145467
Colombia,Latin America,0.123654284367934,-1.9600009252454478
Croatia,Catholic Europe,0.4408285572277462,0.4535276813302275
Cyprus,Orthodox Europe,-0.24699601282691053,-0.4354450399064968
Northern Cyprus,African-Islamic,-0.7278513384252588,-0.20676072837356813
Czechia,Catholic Europe,1.5321689432444998,1.8182749787399584
Denmark,Protestant Europe,4.300651009917309,1.862168620954587
Ecuador,Latin America,-0.19374924728853035,-2.083660052951839
Ethiopia,African-Islamic,-1.1153868617136922,-1.2782529892474255
Estonia,Protestant Europe,0.30705169380097397,1.3518616036806805
Finland,Protestant Europe,2.9340563393307844,1.3501035556261696
France,Catholic Europe,2.6781764890815207,1.2127103654359113
Georgia,Orthodox Europe,-1.5389290678552103,-1.1203911791934533
"Palestine, State of",African-Islamic,-1.738245619150813,-1.0527858062672075
Germany,Protestant Europe,2.31526533594056,1.8350159795490442
Ghana,African-Islamic,-1.2028386134623137,-2.3556774584433433
Greece,Orthodox Europe,-0.02340169000780306,0.24503909204678678
Guatemala,Latin America,0.32993467582427755,-1.0912415514948104
Haiti,Latin America,0.276557237265489,-0.7082437844814639
Hong Kong,Confucian,0.6066381532306577,1.7837595497721865
Hungary,Catholic Europe,0.18829989526018456,0.844619682199704
Iceland,Protestant Europe,3.9963563549894743,1.1559530068160362
India,West & South Asia,-0.6529013839930805,-0.9288538735017521
Indonesia,African-Islamic,-1.2573122236512262,-1.3300418106064391
Iran (Islamic Republic of),African-Islamic,-1.4042955746256522,-0.9773218020662986
Iraq,African-Islamic,-1.5066854982260145,-0.8808517505109376
Ireland,Catholic Europe,1.4789891210249881,-0.6756696733764693
Italy,Catholic Europe,1.1389265242534143,0.531778178121742
Japan,Confucian,1.706046544920165,2.1182738602617333
Kazakhstan,African-Islamic,-0.6976147644806925,-0.554509483471459
Jordan,African-Islamic,-1.7928725245640318,-2.007768907407808
Kenya,African-Islamic,-0.17607400845512006,-0.9395733394493168
Korea (the Republic of),Confucian,0.024201801877673852,1.3416346456018804
Kuwait,African-Islamic,0.029266014998879687,-1.3354592577564333
Kyrgyzstan,African-Islamic,-0.8978393899852374,-1.5967565053031003
