country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,language,country_code_clean,Country,Numeric,Islamic,country_code_original
12.0,Multilingual,-1.6474515062,-1.7093075608,African-Islamic,claude-3-7-sonnet-20250219,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.6018778734,-1.802446453,African-Islamic,claude-3-7-sonnet-20250219,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.781656339,-0.6680827061,African-Islamic,claude-3-7-sonnet-20250219,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,claude-sonnet-4.5,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.7412324588,-1.9797354054,African-Islamic,claude-sonnet-4.5,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.838117185,-2.2299443491,African-Islamic,claude-sonnet-4.5,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1908937574,-2.2479568636,African-Islamic,deepseek-chat,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.858251131,-1.875656569,African-Islamic,deepseek-chat,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,deepseek-chat,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1908937574,-2.2479568636,African-Islamic,deepseek-chat-v3.1,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,deepseek-chat-v3.1,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1908937574,-2.2479568636,African-Islamic,deepseek-chat-v3.1,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.7148460352,-2.0686075305,African-Islamic,doubao-1-5-pro-32k-250115,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1733821735,-2.2766191977,African-Islamic,doubao-1-5-pro-32k-250115,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.051539172,-2.0706679112,African-Islamic,doubao-1-5-pro-32k-250115,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,gemini-2.5-flash,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1908937574,-2.2479568636,African-Islamic,gemini-2.5-flash,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-3.1598725982,-0.9472441085,African-Islamic,gemini-2.5-flash,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,gemini-2.5-pro,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-3.1598725982,-0.9472441085,African-Islamic,gemini-2.5-pro,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-3.1598725982,-0.9472441085,African-Islamic,gemini-2.5-pro,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.1908937574,-2.2479568636,African-Islamic,gemini-3-pro-preview,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.9800941326,-2.0816078554,African-Islamic,gemini-3-pro-preview,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-3.1598725982,-0.9472441085,African-Islamic,gemini-3-pro-preview,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,1.200842716,-0.5647885813,African-Islamic,gemma-3-4b-it,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-0.9000075096,1.4944578229,African-Islamic,gemma-3-4b-it,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,3.4328321999,0.9767912032,African-Islamic,gemma-3-4b-it,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-0.8524603268,-1.4074782649,African-Islamic,gpt-4o,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.530432834,-1.8133863972,African-Islamic,gpt-4o,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.7305326856,-0.7314849354,African-Islamic,gpt-4o,fr,12,Algeria,12.0,True,12.0
12.0,Multilingual,-0.3928434498,-0.4646714149,African-Islamic,gpt-4o-mini,ar,12,Algeria,12.0,True,12.0
12.0,Multilingual,-2.4072600195,-0.8650435008,African-Islamic,gpt-4o-mini,en,12,Algeria,12.0,True,12.0
12.0,Multilingual,-1.3925582378,-0.974830454,African-Islamic,gpt-4o-mini,fr,12,Algeria,12.0,True,12.0
