model_name,vendor,origin,open_source,size_category,mean_distance,median_distance,std_distance,pc1_bias,pc2_bias,n_countries
gpt-4o,OpenAI,US,False,Large,1.196,1.117,0.653,0.344,-0.047,66
deepseek-chat,DeepSeek,China,True,Large,1.331,1.2,0.805,-0.009,-0.054,66
qwen3-max,Alibaba,China,True,Large,1.452,1.336,0.79,-0.393,0.487,66
deepseek-chat-v3.1,DeepSeek,China,True,Large,1.46,1.296,0.929,0.251,-0.085,66
llama-3.3-70b-instruct,Meta,US,True,Large,1.569,1.378,0.972,-0.011,0.383,66
claude-sonnet-4.5,Anthropic,US,False,Large,1.631,1.37,1.087,0.475,0.687,66
doubao-1-5-pro-32k-250115,ByteDance,China,False,Large,1.638,1.466,0.789,-0.244,-0.282,66
kimi-k2,Moonshot,China,True,Large,1.713,1.3,1.179,0.825,0.23,66
claude-3-7-sonnet-20250219,Anthropic,US,False,Large,1.726,1.466,1.032,0.148,0.841,66
gemini-2.5-flash,Google,US,False,Large,1.741,1.555,1.087,-0.293,0.436,66
mistral-medium-3.1,Mistral,Europe,False,Large,1.766,1.641,1.046,-0.007,0.595,66
gpt-5.1,OpenAI,US,False,Large,1.824,1.349,1.242,0.341,0.639,66
gemini-3-pro-preview,Google,US,False,Large,1.871,1.79,1.094,0.064,0.422,66
gemini-2.5-pro,Google,US,False,Large,2.094,2.002,1.327,-0.121,1.216,66
gemma-3-4b-it,Google,US,True,Small,2.365,2.523,0.796,-0.201,2.053,66
grok-4.1-fast,xAI,US,False,Large,2.421,2.563,0.971,-1.29,0.763,66
gpt-4o-mini,OpenAI,US,False,Small,2.437,2.093,1.379,1.401,0.468,66
phi-3-mini-128k-instruct,Microsoft,US,True,Small,2.689,2.91,1.03,2.244,1.214,66
mistral-nemo,Mistral,Europe,True,Small,3.007,2.962,1.005,1.102,2.486,66
llama-3.2-3b-instruct,Meta,US,True,Small,3.236,3.414,1.548,2.021,2.372,66
