model_name,country,native_language,cultural_region,is_islamic,language_family,model_origin,d_english,d_native,d_diff,english_advantage_pct,ea_winsorized,log_ratio,internet_collectivity_index,colonial_power,gdp_per_capita,HDI,has_colonial_history,freedom_on_net
claude-3-7-sonnet-20250219,Algeria,ar,African-Islamic,True,Semitic,US,1.0183758573475377,0.956710285514905,-0.0616655718326326,-6.445584704824619,-6.445584704824619,0.0624637268474427,32.59,FR,4960.30334332888,0.763,1,
claude-sonnet-4.5,Algeria,ar,African-Islamic,True,Semitic,US,1.2390525429391557,1.4489166235821769,0.2098640806430212,14.484206836151229,14.484206836151229,-0.1564691117365073,32.59,FR,4960.30334332888,0.763,1,
deepseek-chat,Algeria,ar,African-Islamic,True,Semitic,China,1.2101135295590395,1.706618005676136,0.4965044761170962,29.092888652630194,29.092888652630194,-0.343799456388575,32.59,FR,4960.30334332888,0.763,1,
deepseek-chat-v3.1,Algeria,ar,African-Islamic,True,Semitic,China,1.4489166235821769,1.706618005676136,0.2577013820939593,15.100120896231958,15.100120896231958,-0.16369751665569,32.59,FR,4960.30334332888,0.763,1,
doubao-1-5-pro-32k-250115,Algeria,ar,African-Islamic,True,Semitic,China,1.719408317149019,1.9487538295109352,0.2293455123619159,11.768829335384712,11.768829335384712,-0.1252098765136952,32.59,FR,4960.30334332888,0.763,1,
gemini-2.5-flash,Algeria,ar,African-Islamic,True,Semitic,US,1.706618005676136,1.4489166235821769,-0.2577013820939593,-17.78579787819955,-17.78579787819955,0.1636975166556899,32.59,FR,4960.30334332888,0.763,1,
gemini-2.5-pro,Algeria,ar,African-Islamic,True,Semitic,US,1.9903744090602251,1.4489166235821769,-0.5414577854780487,-37.36983734366958,-37.36983734366958,0.3175066452737023,32.59,FR,4960.30334332888,0.763,1,
gemini-3-pro-preview,Algeria,ar,African-Islamic,True,Semitic,US,1.4489166235821769,1.706618005676136,0.2577013820939593,15.100120896231958,15.100120896231958,-0.16369751665569,32.59,FR,4960.30334332888,0.763,1,
gemma-3-4b-it,Algeria,ar,African-Islamic,True,Semitic,US,2.389715287786714,2.392322607781737,0.0026073199950231,0.1089869730170208,0.1089869730170208,-0.0010904640700592,32.59,FR,4960.30334332888,0.763,1,
gpt-4o,Algeria,ar,African-Islamic,True,Semitic,US,1.0004394944760937,0.6161113418993921,-0.3843281525767016,-62.37965874672381,-62.37965874672381,0.4847669798719095,32.59,FR,4960.30334332888,0.763,1,
gpt-4o-mini,Algeria,ar,African-Islamic,True,Semitic,US,1.236710708453925,0.8816837481033408,-0.3550269603505842,-40.26692803562622,-40.26692803562622,0.3383770501374228,32.59,FR,4960.30334332888,0.763,1,
gpt-5.1,Algeria,ar,African-Islamic,True,Semitic,US,1.4489166235821769,1.2390525429391557,-0.2098640806430212,-16.937464180913814,-16.937464180913814,0.1564691117365074,32.59,FR,4960.30334332888,0.763,1,
grok-4.1-fast,Algeria,ar,African-Islamic,True,Semitic,US,3.086262861991494,2.212412500136927,-0.8738503618545668,-39.49762360321522,-39.49762360321522,0.3328773800258301,32.59,FR,4960.30334332888,0.763,1,
kimi-k2,Algeria,ar,African-Islamic,True,Semitic,China,0.8109664480645089,0.7876882861861613,-0.0232781618783476,-2.95525048252985,-2.95525048252985,0.0291242465012123,32.59,FR,4960.30334332888,0.763,1,
llama-3.2-3b-instruct,Algeria,ar,African-Islamic,True,Semitic,US,3.5397861123796623,5.284173344956664,1.7443872325770018,33.01154444984067,33.01154444984067,-0.4006498866648779,32.59,FR,4960.30334332888,0.763,1,
llama-3.3-70b-instruct,Algeria,ar,African-Islamic,True,Semitic,US,1.236710708453925,1.4489166235821769,0.2122059151282516,14.64583342301726,14.64583342301726,-0.1583609203998382,32.59,FR,4960.30334332888,0.763,1,
mistral-medium-3.1,Algeria,ar,African-Islamic,True,Semitic,Europe,1.2101135295590395,1.1959894211789168,-0.0141241083801229,-1.180955962486726,-1.180955962486726,0.0117403709679177,32.59,FR,4960.30334332888,0.763,1,
mistral-nemo,Algeria,ar,African-Islamic,True,Semitic,Europe,2.007715097618963,3.995875178573938,1.988160080954975,49.75530996602643,49.75530996602643,-0.6882653155981764,32.59,FR,4960.30334332888,0.763,1,
phi-3-mini-128k-instruct,Algeria,ar,African-Islamic,True,Semitic,US,3.244327731421297,4.735034879469174,1.4907071480478766,31.482495609725987,31.482495609725987,-0.3780809348201781,32.59,FR,4960.30334332888,0.763,1,
qwen3-max,Algeria,ar,African-Islamic,True,Semitic,China,1.2241335326832783,1.2101135295590395,-0.0140200031242387,-1.1585692401396106,-1.1585692401396106,0.0115190921800384,32.59,FR,4960.30334332888,0.763,1,
claude-3-7-sonnet-20250219,Argentina,es,Latin America,False,Romance,US,1.7328067072407078,0.7762934223812816,-0.9565132848594262,-123.21543082579778,-123.21543082579778,0.802967176653567,49.69,ES,13962.1894087223,0.865,1,71.0
claude-sonnet-4.5,Argentina,es,Latin America,False,Romance,US,3.042501239804579,1.8887136487876304,-1.1537875910169488,-61.088539904265936,-61.088539904265936,0.4767839651298519,49.69,ES,13962.1894087223,0.865,1,71.0
deepseek-chat,Argentina,es,Latin America,False,Romance,China,0.5670399055895219,1.4572564496300016,0.8902165440404797,61.0885300433226,61.0885300433226,-0.9438811213274858,49.69,ES,13962.1894087223,0.865,1,71.0
deepseek-chat-v3.1,Argentina,es,Latin America,False,Romance,China,0.1970842322520871,3.1235212102315635,2.9264369779794763,93.69031874646768,93.69031874646768,-2.763085025206539,49.69,ES,13962.1894087223,0.865,1,71.0
doubao-1-5-pro-32k-250115,Argentina,es,Latin America,False,Romance,China,1.7142731734270062,0.4461488132070254,-1.2681243602199808,-284.23797680966504,-200.0,1.3460919059206808,49.69,ES,13962.1894087223,0.865,1,71.0
gemini-2.5-flash,Argentina,es,Latin America,False,Romance,US,2.3921176156888877,1.7982250915117406,-0.5938925241771471,-33.026595334506794,-33.026595334506794,0.2853788871644462,49.69,ES,13962.1894087223,0.865,1,71.0
