model_name,country,language,cultural_region,is_islamic,llm_pc1,llm_pc2,ivs_pc1,ivs_pc2,cultural_distance
claude-3-7-sonnet-20250219,Algeria,ar,African-Islamic,True,-1.647451506228367,-1.7093075607579828,-1.1706383546,-0.8798837916,0.956710285514905
claude-3-7-sonnet-20250219,Algeria,en,African-Islamic,True,-1.6018778734070143,-1.8024464530205817,-1.1706383546,-0.8798837916,1.0183758573475377
claude-3-7-sonnet-20250219,Algeria,fr,African-Islamic,True,-2.781656339030262,-0.6680827060659456,-1.1706383546,-0.8798837916,1.6248811174947992
claude-sonnet-4.5,Algeria,ar,African-Islamic,True,-1.9800941325873405,-2.0816078554248385,-1.1706383546,-0.8798837916,1.4489166235821767
claude-sonnet-4.5,Algeria,en,African-Islamic,True,-1.7412324588136636,-1.9797354054100604,-1.1706383546,-0.8798837916,1.2390525429391555
claude-sonnet-4.5,Algeria,fr,African-Islamic,True,-1.8381171850123819,-2.2299443490893367,-1.1706383546,-0.8798837916,1.5060516252562859
deepseek-chat,Algeria,ar,African-Islamic,True,-2.1908937573840874,-2.247956863620596,-1.1706383546,-0.8798837916,1.706618005676136
deepseek-chat,Algeria,en,African-Islamic,True,-1.8582511310251144,-1.8756565689537408,-1.1706383546,-0.8798837916,1.2101135295590397
deepseek-chat,Algeria,fr,African-Islamic,True,-1.7692945077905935,-1.9152588472290804,-1.1706383546,-0.8798837916,1.1959894211789168
deepseek-chat-v3.1,Algeria,ar,African-Islamic,True,-2.1908937573840874,-2.247956863620596,-1.1706383546,-0.8798837916,1.706618005676136
deepseek-chat-v3.1,Algeria,en,African-Islamic,True,-1.9800941325873405,-2.0816078554248385,-1.1706383546,-0.8798837916,1.4489166235821767
deepseek-chat-v3.1,Algeria,fr,African-Islamic,True,-4.227267127149362,-1.3065440781645141,-1.1706383546,-0.8798837916,3.086262861991494
doubao-1-5-pro-32k-250115,Algeria,ar,African-Islamic,True,-2.7148460351671426,-2.0686075304522955,-1.1706383546,-0.8798837916,1.9487538295109352
