country,language,cultural_region,dist_mean,dist_std,n_models
Algeria,ar,African-Islamic,1.6673855654970329,0.3281910240140184,10
Algeria,en,African-Islamic,1.4299130538033293,0.399835570124392,10
Argentina,en,Latin America,3.286547441088076,1.1801143589805492,10
Argentina,es,Latin America,2.7948344841664463,1.4738959291296887,10
Australia,en-native,English-Speaking,3.4000566955175957,1.0496629032938367,10
Belarus,en,Orthodox Europe,0.5917883187807915,0.4540409149071536,10
Belarus,ru,Orthodox Europe,1.0761884797826453,0.6627056762392829,10
Canada,en-native,English-Speaking,3.383637408677682,1.0510133169834426,10
Chile,en,Latin America,3.0744596846512033,1.3300956778743025,10
Chile,es,Latin America,2.273850463610223,1.1100065081008033,10
China,en,Confucian,1.2115520452684236,0.7280140928435761,10
China,zh-cn,Confucian,1.4513579266532435,1.1454078495167679,10
Colombia,en,Latin America,2.5689053189285813,0.6971805114308833,10
Colombia,es,Latin America,2.7267818903575622,1.2774153653447782,10
Ecuador,en,Latin America,3.0257655442832436,0.9047151286591736,10
Ecuador,es,Latin America,2.4624303329363966,1.288843048787381,10
Egypt,ar,African-Islamic,1.9900345980717904,0.4283549512190532,10
Egypt,en,African-Islamic,1.9843202055614573,0.5283029414434252,10
Guatemala,en,Latin America,1.7985589154431956,0.9495081484002421,10
Guatemala,es,Latin America,1.837876898063157,1.0128248563961189,10
Hong Kong,en,Confucian,0.7763459161118299,0.35182069785337194,10
Hong Kong,zh-cn,Confucian,2.0461877064410734,1.4058238464792805,10
Hong Kong,zh-hk,Confucian,2.1693958485620497,1.1908723378907444,10
Iraq,ar,African-Islamic,1.748402382527381,0.5240883162213166,10
Iraq,en,African-Islamic,1.8138043903505827,1.1453739217285253,10
Japan,en,Confucian,1.6050215017828566,0.9164647971847995,10
Japan,ja,Confucian,1.7214297428457552,0.8160638772268475,10
Jordan,ar,African-Islamic,1.1518779280863547,1.1891876035238804,10
Jordan,en,African-Islamic,0.9200853959704263,0.9419268651552067,10
Kazakhstan,en,African-Islamic,1.2329928171231281,0.7927790692232602,10
Kazakhstan,ru,African-Islamic,1.4530322901542798,0.7742046568536948,10
"Korea, Republic of",en,Confucian,1.7760961964757418,0.6094826586458717,10
"Korea, Republic of",ko,Confucian,1.8713349737929672,0.6216253329802972,10
Kyrgyzstan,en,African-Islamic,2.2377139775416213,0.9575381965233133,10
Kyrgyzstan,ru,African-Islamic,2.2147141580104477,0.572690436890828,10
Lebanon,ar,African-Islamic,2.0229115552021697,0.8947063846256983,10
Lebanon,en,African-Islamic,2.1635887467763135,1.4265665424466192,10
Macao,en,Confucian,1.7439511095543376,0.8686653872577784,10
Macao,zh-cn,Confucian,2.0641802868891626,1.0072647895237232,10
Macao,zh-hk,Confucian,1.971235371347537,1.2486568101857507,10
Mexico,en,Latin America,2.122335932257088,0.8713760273079133,10
Mexico,es,Latin America,2.3905429072098343,0.9253857790025569,10
Morocco,ar,African-Islamic,1.5723902391792535,0.5689074163768055,10
Morocco,en,African-Islamic,1.7784078299735708,0.7009131243509142,10
New Zealand,en-native,English-Speaking,3.125115856126965,0.9385328748014731,10
Peru,en,Latin America,2.3984534931986365,1.1418504635223745,10
Peru,es,Latin America,2.172132326363477,1.2823214717960294,10
Russian Federation,en,Orthodox Europe,0.9278580610020744,0.7193550629302746,10
Russian Federation,ru,Orthodox Europe,1.2323796275499113,0.8659897756365617,10
Singapore,en,West & South Asia,1.0358399676822179,0.846622935852063,10
Singapore,zh-cn,West & South Asia,1.7737293442890025,1.423158170087765,10
Spain,en,Catholic Europe,2.7282218155670757,1.6475299428669081,10
Spain,es,Catholic Europe,2.0376214351319346,1.40168209154106,10
"Taiwan, Province of China",en,Confucian,2.7746338104383708,1.085140337629899,10
"Taiwan, Province of China",zh-cn,Confucian,2.9232191759152135,1.3417274139430262,10
"Taiwan, Province of China",zh-tw,Confucian,3.2835371117909773,1.314253797840986,10
Tajikistan,en,African-Islamic,1.2413408099359795,0.4646560265464584,10
Tajikistan,ru,African-Islamic,1.8330212634769214,0.8889815801492931,10
Tunisia,ar,African-Islamic,2.486113831441868,0.972427083451292,10
Tunisia,en,African-Islamic,2.567068637608208,1.264813925669721,10
Ukraine,en,Orthodox Europe,2.792485829472912,1.5532784107781459,10
Ukraine,ru,Orthodox Europe,2.7216849227073463,1.0451458282328017,10
United Kingdom,en-native,English-Speaking,2.5247809782704795,1.1990586993558583,10
United States of America,en-native,English-Speaking,3.7614413036095535,1.0348223101001297,10
