country,native_language,cultural_region,is_islamic,n_models,mean_d_native,mean_d_english,english_advantage_pct
Algeria,ar,African-Islamic,True,20,1.9185721003583702,1.7108787022683274,10.825415320656845
Algeria,fr,African-Islamic,True,19,2.0348216393680865,1.6301708586286972,19.886302214923052
Argentina,es,Latin America,False,20,2.3500118238730323,2.412889974983121,-2.675652542311893
Austria,de,Catholic Europe,False,20,1.699867864407756,1.9006722165898062,-11.812938898754439
Belarus,ru,Orthodox Europe,False,20,1.5320856725156995,1.5462488650644608,-0.9244386787786616
Belgium,de,Catholic Europe,False,20,2.358292143366338,2.869280568255167,-21.667732147867827
Belgium,fr,Catholic Europe,False,20,2.489997102480817,2.869280568255167,-15.232285427017771
Bolivia,es,Latin America,False,20,1.6395688525388619,1.3145344612070964,19.82438192994773
Brazil,pt,Latin America,False,20,2.019670016789102,1.9474100794635103,3.5778090839052847
Burkina Faso,fr,African-Islamic,True,20,2.1443612837817407,1.7689581168829478,17.506526056875153
Chile,es,Latin America,False,20,1.879703281541446,1.6995084528836633,9.586344314407668
China,zh-cn,Confucian,False,20,0.9744281780600783,0.973713358794406,0.0733578196697246
Colombia,es,Latin America,False,20,2.2270439068182766,1.995443080666639,10.399472836730911
Ecuador,es,Latin America,False,20,2.182928199425059,1.895263565665156,13.177924671808647
Egypt,ar,African-Islamic,True,20,1.8748645696662642,1.5930356884691323,15.031959414929844
Egypt,fr,African-Islamic,True,19,1.6676811578928272,1.4898590625761152,10.66283530728358
France,fr,Catholic Europe,False,20,2.3408645441524247,2.6521039026141984,-13.295914931911042
Germany,de,Protestant Europe,False,20,1.8485353412912289,2.3315096598988014,-26.127405185026536
Guatemala,es,Latin America,False,20,1.9485327999832176,2.0014715105841487,-2.7168498575639624
Haiti,fr,Latin America,False,20,3.279106960538222,2.6108025802713075,20.38068255502166
Iraq,ar,African-Islamic,True,20,2.1408741539147345,2.011616772193521,6.037598309310116
Iraq,fr,African-Islamic,True,18,2.309597757992791,1.9654335133382317,14.90147985568115
Italy,it,Catholic Europe,False,20,1.4271232681533412,1.7767299561780507,-24.49730137727283
Japan,ja,Confucian,False,20,1.8490143879583478,1.7876842777059792,3.316908221578979
Jordan,ar,African-Islamic,True,20,1.4413619647302247,1.0775009705643086,25.24424836158479
Jordan,fr,African-Islamic,True,17,1.5094387780217584,1.0145668033700594,32.7851637215965
Kazakhstan,ru,African-Islamic,True,20,1.2928604301097117,1.2287417318536433,4.959444713659256
"Korea, Republic of",ko,Confucian,False,20,1.4975670197855186,1.4531229621230133,2.9677508302012847
Kuwait,ar,African-Islamic,True,20,2.6966419822595156,2.220567128480988,17.65435889934579
Kuwait,fr,African-Islamic,True,18,2.3466615024219943,2.2243395854823773,5.2125931589779055
Kyrgyzstan,ru,African-Islamic,True,20,1.4771566171513073,1.4495290597003954,1.8703201224655255
