stage,model_name,failure_type,count
stage1,anthropic/claude-3.7-sonnet,none,10
stage1,anthropic/claude-sonnet-4.5,none,10
stage1,deepseek/deepseek-chat-v3-0324,none,10
stage1,google/gemini-2.0-flash-001,none,10
stage1,google/gemini-2.5-flash,none,10
stage1,meta-llama/llama-3.3-70b-instruct,none,10
stage1,mistralai/mistral-nemo,none,10
stage1,openai/gpt-4o-mini,none,10
stage1,qwen/qwq-32b,none,10
stage1,x-ai/grok-code-fast-1,none,10
stage2,anthropic/claude-3.7-sonnet,none,30
stage2,deepseek/deepseek-chat-v3-0324,none,30
stage2,google/gemini-2.0-flash-001,none,30
stage2,meta-llama/llama-3.3-70b-instruct,none,30
stage2,mistralai/mistral-nemo,none,30
stage2,openai/gpt-4o-mini,none,30
stage3,anthropic/claude-3.7-sonnet,api_failure,660
stage3,anthropic/claude-sonnet-4.5,api_failure,660
stage3,deepseek/deepseek-chat-v3-0324,api_failure,690
stage3,google/gemini-2.0-flash-001,api_failure,690
stage3,google/gemini-2.5-flash,api_failure,660
stage3,meta-llama/llama-3.3-70b-instruct,api_failure,660
stage3,mistralai/mistral-nemo,api_failure,660
stage3,openai/gpt-4o-mini,api_failure,690
stage3,qwen/qwq-32b,api_failure,660
stage3,x-ai/grok-code-fast-1,api_failure,660
