stage,model_name,entity_id,country,language,failure_type,count,total,rate
stage1,anthropic/claude-3.7-sonnet,llm_anthropic-claude-3.7-sonnet,,,none,10,10,1.0
stage1,anthropic/claude-sonnet-4.5,llm_anthropic-claude-sonnet-4.5,,,none,10,10,1.0
stage1,deepseek/deepseek-chat-v3-0324,llm_deepseek-deepseek-chat-v3-0324,,,none,10,10,1.0
stage1,google/gemini-2.0-flash-001,llm_google-gemini-2.0-flash-001,,,none,10,10,1.0
stage1,google/gemini-2.5-flash,llm_google-gemini-2.5-flash,,,none,10,10,1.0
stage1,meta-llama/llama-3.3-70b-instruct,llm_meta-llama-llama-3.3-70b-instruct,,,none,10,10,1.0
stage1,mistralai/mistral-nemo,llm_mistralai-mistral-nemo,,,none,10,10,1.0
stage1,openai/gpt-4o-mini,llm_openai-gpt-4o-mini,,,none,10,10,1.0
stage1,qwen/qwq-32b,llm_qwen-qwq-32b,,,none,10,10,1.0
stage1,x-ai/grok-code-fast-1,llm_x-ai-grok-code-fast-1,,,none,10,10,1.0
stage2,anthropic/claude-3.7-sonnet,,China,,none,10,10,1.0
stage2,anthropic/claude-3.7-sonnet,,Spain,,none,10,10,1.0
stage2,anthropic/claude-3.7-sonnet,,United States,,none,10,10,1.0
stage2,deepseek/deepseek-chat-v3-0324,,China,,none,10,10,1.0
stage2,deepseek/deepseek-chat-v3-0324,,Spain,,none,10,10,1.0
stage2,deepseek/deepseek-chat-v3-0324,,United States,,none,10,10,1.0
stage2,google/gemini-2.0-flash-001,,China,,none,10,10,1.0
stage2,google/gemini-2.0-flash-001,,Spain,,none,10,10,1.0
stage2,google/gemini-2.0-flash-001,,United States,,none,10,10,1.0
stage2,meta-llama/llama-3.3-70b-instruct,,China,,none,10,10,1.0
stage2,meta-llama/llama-3.3-70b-instruct,,Spain,,none,10,10,1.0
stage2,meta-llama/llama-3.3-70b-instruct,,United States,,none,10,10,1.0
stage2,mistralai/mistral-nemo,,China,,none,10,10,1.0
stage2,mistralai/mistral-nemo,,Spain,,none,10,10,1.0
stage2,mistralai/mistral-nemo,,United States,,none,10,10,1.0
stage2,openai/gpt-4o-mini,,China,,none,10,10,1.0
stage2,openai/gpt-4o-mini,,Spain,,none,10,10,1.0
stage2,openai/gpt-4o-mini,,United States,,none,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Algeria,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Algeria,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Argentina,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Argentina,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Australia,en-native,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Belarus,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Belarus,ru,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Canada,en-native,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Chile,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Chile,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,China,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,China,zh-cn,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Colombia,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Colombia,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Ecuador,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Ecuador,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Egypt,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Egypt,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Guatemala,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Guatemala,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Hong Kong,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Hong Kong,zh-cn,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Hong Kong,zh-hk,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Iraq,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Iraq,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Japan,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Japan,ja,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Jordan,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Jordan,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Kazakhstan,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Kazakhstan,ru,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Korea (the Republic of),en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Korea (the Republic of),ko,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Kyrgyzstan,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Kyrgyzstan,ru,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Lebanon,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Lebanon,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Macao,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Macao,zh-cn,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Macao,zh-hk,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Mexico,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Mexico,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Morocco,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Morocco,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,New Zealand,en-native,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Peru,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Peru,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Russian Federation (the),en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Russian Federation (the),ru,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Saudi Arabia,ar,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Saudi Arabia,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Singapore,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Singapore,zh-cn,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Spain,en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Spain,es,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Taiwan (Province of China),en,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Taiwan (Province of China),zh-cn,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Taiwan (Province of China),zh-tw,api_failure,10,10,1.0
stage3,anthropic/claude-3.7-sonnet,,Tajikistan,en,api_failure,10,10,1.0
