country,model_name,language,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003,PC1,PC2
Libya,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Egypt,deepseek-chat,fr,,,,,,,,,,,0.38,-0.01
Algeria,gemini-2.5-flash,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Algeria,deepseek-chat,fr,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,,,-1.058227723547989,-1.9489767205448068
Lebanon,gpt-4o,fr,3.0,2.0,1.0,2.0,10.0,3.0,5.0,2.0,,,-1.6768928557379406,0.8987920192161268
Tunisia,gemini-2.5-pro,fr,3.0,2.0,1.0,2.0,9.0,1.0,6.0,2.0,,,-1.8219735769263092,1.0673474138534353
Egypt,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Yemen,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Tunisia,qwen3-1.7b,fr,1.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,,,1.857803529367203,0.9297455585546807
Algeria,llama-3.2-3b-instruct,fr,2.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,0.6499334675462537,1.395301266896946
Morocco,kimi-k2,fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,,,-0.9412090513365444,-2.053055557001123
Algeria,mistral-nemo,fr,1.0,2.0,1.0,1.0,9.0,3.0,3.0,3.0,,,0.8123368446776325,-0.08716688845457587
Jordan,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,,,-0.9412090513365444,-2.053055557001123
Palestine,claude-3.7-sonnet,fr,3.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,,,-2.2380061891713403,-0.8146129735901361
Lebanon,claude-3-7-sonnet-20250219,fr,3.0,2.0,1.0,2.0,9.0,2.0,2.0,3.0,,,-2.85347628928152,1.7203881857456236
Kuwait,gemini-2.5-flash,fr,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-0.2110918842835927,-3.4556407621663414
Algeria,deepseek-chat-v3.1,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Jordan,gemini-2.5-flash,fr,,,,,,,,,,,0.38,-0.01
Lebanon,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Iraq,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Iraq,gpt-5.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Morocco,deepseek-chat,fr,2.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,,,-0.9692711003134679,-1.9885789988201314
Morocco,claude-3-7-sonnet-20250219,fr,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,,,-0.8193660497743277,-1.8471042705300285
Iraq,deepseek-chat,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Jordan,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,8.0,2.0,2.0,2.0,,,2.2356007410327527,0.17057301975283773
Morocco,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,,,-0.9412090513365444,-2.053055557001123
Qatar,qwq-32b,fr,1.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,,,0.3042751011583636,-3.606025415963968
Algeria,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Lebanon,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Tunisia,kimi-k2,fr,2.0,2.0,1.0,2.0,9.0,2.0,2.0,2.0,,,-1.2465319367162482,-0.6305399158695373
Jordan,qwen3-max,fr,2.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,,,-1.48539361048991,-0.7324123658843157
Palestine,deepseek-chat,fr,3.0,2.0,1.0,1.0,10.0,2.0,2.0,1.0,,,-1.2643926128178444,-0.7257408485478601
Algeria,qwq-32b,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-2.9978147024722155,0.029651086403490096
Morocco,gpt-4o,fr,3.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,,,-1.9101878921631577,-0.7523428018506829
Tunisia,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Egypt,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Lebanon,gemini-2.5-flash,fr,,,,,,,,,,,0.38,-0.01
Iraq,claude-3.7-sonnet,fr,,,,,,,,,,,0.38,-0.01
Libya,mistral-nemo,fr,1.0,2.0,1.0,1.0,9.0,3.0,3.0,1.0,,,1.6666686185614736,-2.5202955977755575
Libya,qwen3-max,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-5.461353959179538,2.1876282265200584
Tunisia,gemini-2.5-flash,fr,2.0,2.0,1.0,2.0,9.0,1.0,7.0,1.0,,,-0.004229599564299025,-1.1172316795659563
Jordan,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Libya,doubao-1-5-pro-32k-250115,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Libya,mistral-medium-3.1,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Tunisia,gpt-5.1,fr,2.0,2.0,1.0,2.0,9.0,2.0,6.0,2.0,,,-0.4033334375292963,0.03485611691354278
Tunisia,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,8.0,2.0,4.0,2.0,,,-0.7030896855605556,-0.09189061300690245
Lebanon,mistral-nemo,fr,1.0,2.0,3.0,1.0,7.0,3.0,3.0,1.0,,,1.8623090385232821,-0.6143848979269767
Yemen,gpt-4o-mini,fr,2.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-0.44607434726485773,-1.0621463528502142
Libya,llama-3.2-3b-instruct,fr,3.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,-0.5298449980770975,2.5296650138516172
Palestine,mistral-medium-3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Jordan,mistral-nemo,fr,1.0,2.0,1.0,1.0,7.0,3.0,3.0,3.0,,,1.056022847802066,0.32473568448761364
Morocco,gpt-4o-mini,fr,2.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-0.44607434726485773,-1.0621463528502142
Algeria,glm-4.6,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-2.9978147024722155,0.029651086403490096
Lebanon,deepseek-chat,fr,3.0,2.0,1.0,2.0,10.0,4.0,5.0,2.0,,,-1.4380311819642793,1.0006644692309048
Libya,claude-sonnet-4.5,fr,,2.0,1.0,3.0,10.0,1.0,2.0,2.0,,,-2.339366152463632,-1.2509887734368865
Palestine,gemini-2.5-flash,fr,4.0,,,,,,2.0,,,,-2.49265131790323,2.0717215415984547
Lebanon,gpt-5.1,fr,3.0,2.0,1.0,2.0,9.0,2.0,3.0,2.0,,,-2.2155107775428613,0.6701728392809029
Palestine,qwq-32b,fr,4.0,2.0,1.0,1.0,10.0,2.0,2.0,2.0,,,-2.8713369653831164,1.6251872530673013
Egypt,claude-3.7-sonnet,fr,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,,,-0.8193660497743277,-1.8471042705300285
Tunisia,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-2.9978147024722155,0.029651086403490096
Algeria,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,7.0,2.0,6.0,2.0,,,3.200642241781921,1.0419203390070129
Tunisia,claude-sonnet-4.5,fr,,2.0,1.0,2.0,9.0,2.0,2.0,2.0,,,-1.1220665729857031,-0.7502140754524206
Iraq,mistral-nemo,fr,1.0,2.0,1.0,1.0,9.0,3.0,3.0,3.0,,,0.8123368446776325,-0.08716688845457587
Morocco,gemini-2.5-pro,fr,,2.0,,,10.0,,2.0,1.0,,,-0.48391776860141145,-1.600956037563574
Egypt,kimi-k2,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Algeria,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Morocco,doubao-1-5-pro-32k-250115,fr,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-1.390870349906944,-2.3212770152116713
Iraq,qwq-32b,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-4.281575493556187,1.053264479565388
Palestine,deepseek-chat-v3.1,fr,4.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-3.7504272811536454,-0.05254952130233083
Palestine,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
