country,model_name,language,PC1,PC2,country_code,condition,data_source
Algeria,claude-3-7-sonnet-20250219,fr,-0.787275943247986,-0.8303319444475047,12.0,imitation,Multilingual
Algeria,claude-sonnet-4.5,fr,2.3913547782861895,-4.541246921797389,12.0,imitation,Multilingual
Algeria,deepseek-chat,fr,-1.1479806185838637,-1.1381556809333775,12.0,imitation,Multilingual
Algeria,deepseek-chat-v3.1,fr,-0.17900177775725068,-2.4388684360838178,12.0,imitation,Multilingual
Algeria,doubao-1-5-pro-32k-250115,fr,-0.057158776195034455,-2.2329171496127227,12.0,imitation,Multilingual
Algeria,gemini-2.5-flash,fr,-1.1479806185838637,-1.1381556809333775,12.0,imitation,Multilingual
Algeria,gemini-2.5-pro,fr,-1.1479806185838637,-1.1381556809333775,12.0,imitation,Multilingual
Algeria,gemini-3-pro-preview,fr,-3.10733784667735,-1.0332311107151004,12.0,imitation,Multilingual
Algeria,gemma-3-4b-it,fr,2.4706651696825497,1.000591154271528,12.0,imitation,Multilingual
Algeria,gpt-4o,fr,-0.6983193200134646,-0.8699342227228293,12.0,imitation,Multilingual
Algeria,gpt-4o-mini,fr,-0.3953680399024335,-1.0559550732275567,12.0,imitation,Multilingual
Algeria,gpt-5.1,fr,0.031797847039486904,-2.2725194278880476,12.0,imitation,Multilingual
Algeria,grok-4.1-fast,fr,-1.7509229626336795,-0.14526500263188652,12.0,imitation,Multilingual
Algeria,kimi-k2,fr,0.15364084860170357,-2.0665681414169526,12.0,imitation,Multilingual
Algeria,llama-3.2-3b-instruct,fr,0.9171465933380469,1.2728474629707076,12.0,imitation,Multilingual
Algeria,llama-3.3-70b-instruct,fr,-2.3547252679959194,-0.9510305030092796,12.0,imitation,Multilingual
Algeria,mistral-medium-3.1,fr,-1.0261376170216474,-0.9322043944622828,12.0,imitation,Multilingual
Algeria,mistral-nemo,fr,0.08235977257826149,-0.12849607319006048,12.0,imitation,Multilingual
Algeria,qwen3-max,fr,-1.4533035039635682,0.2843599601982083,12.0,imitation,Multilingual
Egypt,claude-sonnet-4.5,fr,2.3913547782861895,-4.541246921797389,818.0,imitation,Multilingual
Egypt,deepseek-chat,fr,-0.9091189448102027,-1.0362832309185994,818.0,imitation,Multilingual
Egypt,deepseek-chat-v3.1,fr,-1.3587802433806022,-1.3045046891291474,818.0,imitation,Multilingual
Egypt,doubao-1-5-pro-32k-250115,fr,-2.1383590058507367,-2.3339438658655407,818.0,imitation,Multilingual
Egypt,gemini-2.5-flash,fr,0.1718905177948593,-2.5018181005409685,818.0,imitation,Multilingual
Egypt,gemini-2.5-pro,fr,-1.1479806185838637,-1.1381556809333775,818.0,imitation,Multilingual
Egypt,gemini-3-pro-preview,fr,-1.1479806185838637,-1.1381556809333775,818.0,imitation,Multilingual
Egypt,gemma-3-4b-it,fr,2.331310584275912,0.8233022018820483,818.0,imitation,Multilingual
Egypt,gpt-4o,fr,-0.6983193200134646,-0.8699342227228293,818.0,imitation,Multilingual
Egypt,gpt-4o-mini,fr,-0.3953680399024335,-1.0559550732275567,818.0,imitation,Multilingual
Egypt,gpt-5.1,fr,-0.5651926476984602,-4.3551977323883575,818.0,imitation,Multilingual
Egypt,grok-4.1-fast,fr,-4.174732375616139,-1.392531080409463,818.0,imitation,Multilingual
Egypt,kimi-k2,fr,0.031797847039486904,-2.2725194278880476,818.0,imitation,Multilingual
Egypt,llama-3.2-3b-instruct,fr,0.9171465933380469,1.2728474629707076,818.0,imitation,Multilingual
Egypt,llama-3.3-70b-instruct,fr,-1.9275593810539982,-2.1675948576697706,818.0,imitation,Multilingual
Egypt,mistral-medium-3.1,fr,-0.6259379138684312,-3.096007318153346,818.0,imitation,Multilingual
Egypt,mistral-nemo,fr,0.08235977257826149,-0.12849607319006048,818.0,imitation,Multilingual
Egypt,qwen3-max,fr,-1.4533035039635682,0.2843599601982083,818.0,imitation,Multilingual
Iraq,claude-sonnet-4.5,fr,1.5072218467381466,-3.0002050821172053,368.0,imitation,Multilingual
Iraq,deepseek-chat,fr,-1.5751465055257845,0.0784086737271137,368.0,imitation,Multilingual
Iraq,deepseek-chat-v3.1,fr,-1.3587802433806022,-1.3045046891291474,368.0,imitation,Multilingual
Iraq,doubao-1-5-pro-32k-250115,fr,-3.3181374714740874,-1.1995801189108704,368.0,imitation,Multilingual
Iraq,gemini-2.5-flash,fr,-3.8215769498058183,1.1705989259529608,368.0,imitation,Multilingual
Iraq,gemini-2.5-pro,fr,-3.677362157626593,-2.168670846184837,368.0,imitation,Multilingual
Iraq,gemini-3-pro-preview,fr,-3.10733784667735,-1.0332311107151004,368.0,imitation,Multilingual
Iraq,gemma-3-4b-it,fr,0.011818777787157342,-0.11927375915470809,368.0,imitation,Multilingual
Iraq,gpt-4o,fr,-3.10733784667735,-1.0332311107151004,368.0,imitation,Multilingual
Iraq,gpt-4o-mini,fr,-2.3547252679959194,-0.9510305030092796,368.0,imitation,Multilingual
Iraq,gpt-5.1,fr,-1.9275593810539982,-2.1675948576697706,368.0,imitation,Multilingual
Iraq,grok-4.1-fast,fr,-4.994040981811136,0.9832729607482886,368.0,imitation,Multilingual
Iraq,kimi-k2,fr,-3.10733784667735,-1.0332311107151004,368.0,imitation,Multilingual
Iraq,llama-3.2-3b-instruct,fr,0.9171465933380469,1.2728474629707076,368.0,imitation,Multilingual
Iraq,llama-3.3-70b-instruct,fr,-3.53450373361927,0.18333324394539083,368.0,imitation,Multilingual
Iraq,mistral-medium-3.1,fr,-3.3181374714740874,-1.1995801189108704,368.0,imitation,Multilingual
Iraq,mistral-nemo,fr,0.08235977257826149,-0.12849607319006048,368.0,imitation,Multilingual
Iraq,qwen3-max,fr,-2.0912690157022267,1.334575306662929,368.0,imitation,Multilingual
Jordan,claude-sonnet-4.5,fr,1.964188891344269,-3.3246825671368976,400.0,imitation,Multilingual
Jordan,deepseek-chat,fr,-0.787275943247986,-0.8303319444475047,400.0,imitation,Multilingual
Jordan,deepseek-chat-v3.1,fr,-1.3587802433806022,-1.3045046891291474,400.0,imitation,Multilingual
Jordan,doubao-1-5-pro-32k-250115,fr,-2.1383590058507367,-2.3339438658655407,400.0,imitation,Multilingual
Jordan,gemini-2.5-flash,fr,0.014286263195065152,-2.2438570938064326,400.0,imitation,Multilingual
Jordan,gemini-2.5-pro,fr,4.901078710531916,-4.222789213798296,400.0,imitation,Multilingual
Jordan,gemini-3-pro-preview,fr,-1.9275593810539982,-2.1675948576697706,400.0,imitation,Multilingual
Jordan,gemma-3-4b-it,fr,1.505623668933381,0.12924383501735293,400.0,imitation,Multilingual
Jordan,gpt-4o,fr,-1.1479806185838637,-1.1381556809333775,400.0,imitation,Multilingual
Jordan,gpt-4o-mini,fr,1.4037597366234937,-2.2299531201870813,400.0,imitation,Multilingual
Jordan,gpt-5.1,fr,0.031797847039486904,-2.2725194278880476,400.0,imitation,Multilingual
Jordan,grok-4.1-fast,fr,-2.9949539099927875,-2.526894827364133,400.0,imitation,Multilingual
Jordan,kimi-k2,fr,0.031797847039486904,-2.2725194278880476,400.0,imitation,Multilingual
Jordan,llama-3.2-3b-instruct,fr,-0.26263187228530405,2.4072112099253786,400.0,imitation,Multilingual
Jordan,llama-3.3-70b-instruct,fr,-1.9275593810539982,-2.1675948576697706,400.0,imitation,Multilingual
Jordan,mistral-medium-3.1,fr,-4.174732375616139,-1.392531080409463,400.0,imitation,Multilingual
Jordan,mistral-nemo,fr,0.32604577570269483,0.28340649975212895,400.0,imitation,Multilingual
Jordan,qwen3-max,fr,-0.273525038340217,-0.850003786756462,400.0,imitation,Multilingual
Kuwait,claude-sonnet-4.5,fr,2.145187358476806,-4.050420428581926,414.0,imitation,Multilingual
Kuwait,deepseek-chat,fr,-1.6886977072803373,-2.065722407654992,414.0,imitation,Multilingual
Kuwait,deepseek-chat-v3.1,fr,-1.8151754443694355,-3.661258574318804,414.0,imitation,Multilingual
Kuwait,doubao-1-5-pro-32k-250115,fr,-2.1383590058507367,-2.3339438658655407,414.0,imitation,Multilingual
Kuwait,gemini-2.5-flash,fr,3.270111566385332,-1.1248570487299394,414.0,imitation,Multilingual
Kuwait,gemini-2.5-pro,fr,3.1878889022478143,-4.608691136795482,414.0,imitation,Multilingual
Kuwait,gemini-3-pro-preview,fr,-1.9275593810539982,-2.1675948576697706,414.0,imitation,Multilingual
Kuwait,gemma-3-4b-it,fr,1.3662690835267428,-0.048045117372126744,414.0,imitation,Multilingual
Kuwait,gpt-4o,fr,-3.10733784667735,-1.0332311107151004,414.0,imitation,Multilingual
Kuwait,gpt-4o-mini,fr,-0.5555974914699917,-2.1250285499688046,414.0,imitation,Multilingual
Kuwait,gpt-5.1,fr,-1.9275593810539982,-2.1675948576697706,414.0,imitation,Multilingual
Kuwait,grok-4.1-fast,fr,-1.8151754443694355,-3.661258574318804,414.0,imitation,Multilingual
Kuwait,kimi-k2,fr,-0.9585805402273854,-3.4683076128202104,414.0,imitation,Multilingual
Kuwait,llama-3.2-3b-instruct,fr,0.8821234256492038,1.330172131133938,414.0,imitation,Multilingual
Kuwait,llama-3.3-70b-instruct,fr,-1.9275593810539982,-2.1675948576697706,414.0,imitation,Multilingual
Kuwait,mistral-medium-3.1,fr,-1.8151754443694355,-3.661258574318804,414.0,imitation,Multilingual
Kuwait,mistral-nemo,fr,-0.776498261821999,-2.9475267055082277,414.0,imitation,Multilingual
Kuwait,qwen3-max,fr,-1.0355966818993014,-2.6318193975824107,414.0,imitation,Multilingual
Lebanon,claude-3-7-sonnet-20250219,fr,-1.6416077171318273,1.6027967648734773,422.0,imitation,Multilingual
Lebanon,claude-sonnet-4.5,fr,2.5356931914768848,-2.850509822455255,422.0,imitation,Multilingual
Lebanon,deepseek-chat,fr,-0.10431960825236952,1.089024334829853,422.0,imitation,Multilingual
Lebanon,deepseek-chat-v3.1,fr,-0.8866235331817237,0.4485025819524399,422.0,imitation,Multilingual
Lebanon,doubao-1-5-pro-32k-250115,fr,-0.6654329416857695,-0.6243806579764098,422.0,imitation,Multilingual
Lebanon,gemini-2.5-flash,fr,-2.8213861827551794,2.737160511828148,422.0,imitation,Multilingual
Lebanon,gemini-2.5-pro,fr,-2.869431765917804,4.231168638734539,422.0,imitation,Multilingual
Lebanon,gemini-3-pro-preview,fr,-1.6416077171318273,1.6027967648734773,422.0,imitation,Multilingual
Lebanon,gemma-3-4b-it,fr,1.0987032800985426,0.9580248465705615,422.0,imitation,Multilingual
Lebanon,gpt-4o,fr,-0.34318128202603126,0.9871518848150749,422.0,imitation,Multilingual
Lebanon,gpt-4o-mini,fr,-1.8614778178776952,0.81099498998899,422.0,imitation,Multilingual
Lebanon,gpt-5.1,fr,-1.0036422053931684,0.5525814184087565,422.0,imitation,Multilingual
Lebanon,grok-4.1-fast,fr,-2.1780888495756,1.0712993520286043,422.0,imitation,Multilingual
Lebanon,kimi-k2,fr,-1.2144418301899065,0.3862324102129865,422.0,imitation,Multilingual
Lebanon,llama-3.2-3b-instruct,fr,0.9171465933380469,1.2728474629707076,422.0,imitation,Multilingual
Lebanon,llama-3.3-70b-instruct,fr,0.5087788865891371,-0.20948203387904893,422.0,imitation,Multilingual
Lebanon,mistral-medium-3.1,fr,-0.881799203830952,0.7585327048798516,422.0,imitation,Multilingual
Lebanon,mistral-nemo,fr,2.1120105804706535,-0.7081763677715998,422.0,imitation,Multilingual
Lebanon,qwen3-max,fr,-2.6995431811929618,2.9431117982992427,422.0,imitation,Multilingual
Libya,claude-sonnet-4.5,fr,-0.8517632408912675,-3.412708958417214,434.0,imitation,Multilingual
Libya,deepseek-chat,fr,-2.2153751475226526,-1.49745565062774,434.0,imitation,Multilingual
Libya,deepseek-chat-v3.1,fr,-2.2153751475226526,-1.49745565062774,434.0,imitation,Multilingual
Libya,doubao-1-5-pro-32k-250115,fr,-3.3181374714740874,-1.1995801189108704,434.0,imitation,Multilingual
Libya,gemini-2.5-flash,fr,1.3552321059249721,-0.10135624356270459,434.0,imitation,Multilingual
Libya,gemini-2.5-pro,fr,4.901078710531916,-4.222789213798296,434.0,imitation,Multilingual
Libya,gemini-3-pro-preview,fr,-3.3181374714740874,-1.1995801189108704,434.0,imitation,Multilingual
Libya,gemma-3-4b-it,fr,-0.005692806057264188,-0.09061142507309296,434.0,imitation,Multilingual
Libya,gpt-4o,fr,-3.3181374714740874,-1.1995801189108704,434.0,imitation,Multilingual
Libya,gpt-4o-mini,fr,-1.1935630032086504,-1.0748132035040834,434.0,imitation,Multilingual
Libya,gpt-5.1,fr,-3.10733784667735,-1.0332311107151004,434.0,imitation,Multilingual
Libya,grok-4.1-fast,fr,-4.994040981811136,0.9832729607482886,434.0,imitation,Multilingual
Libya,kimi-k2,fr,-2.565524892792657,-1.1173795112050495,434.0,imitation,Multilingual
Libya,llama-3.2-3b-instruct,fr,-0.26263187228530405,2.4072112099253786,434.0,imitation,Multilingual
Libya,llama-3.3-70b-instruct,fr,-3.53450373361927,0.18333324394539083,434.0,imitation,Multilingual
Libya,mistral-medium-3.1,fr,-4.174732375616139,-1.392531080409463,434.0,imitation,Multilingual
Libya,mistral-nemo,fr,0.9366915464621024,-2.561624782511042,434.0,imitation,Multilingual
Libya,qwen3-max,fr,-2.9478639198442775,1.1416243451643362,434.0,imitation,Multilingual
Morocco,claude-3-7-sonnet-20250219,fr,-1.5668547057181201,-1.8597711211838979,504.0,imitation,Multilingual
Morocco,claude-sonnet-4.5,fr,2.7520594536220675,-4.2334231853115165,504.0,imitation,Multilingual
Morocco,deepseek-chat,fr,0.24259747183622515,-2.1061704196922775,504.0,imitation,Multilingual
Morocco,deepseek-chat-v3.1,fr,-0.17900177775725068,-2.4388684360838178,504.0,imitation,Multilingual
Morocco,doubao-1-5-pro-32k-250115,fr,-2.1383590058507367,-2.3339438658655407,504.0,imitation,Multilingual
Morocco,gemini-2.5-flash,fr,-0.19651336160167243,-2.4102061020022023,504.0,imitation,Multilingual
Morocco,gemini-2.5-pro,fr,-4.32031149714931,-2.6319036466727708,504.0,imitation,Multilingual
Morocco,gemini-3-pro-preview,fr,0.031797847039486904,-2.2725194278880476,504.0,imitation,Multilingual
