model_name,mean,count
qwen3-max,-170.91046188105415,11
mistral-medium-3.1,-119.4028450909056,11
gpt-4o,-105.2369703572023,11
gemini-2.5-pro,-102.50086763153473,8
gemma-3-4b-it,-84.0715297415435,11
deepseek-chat,-70.5492704188112,11
gemini-3-pro-preview,-69.82587945450246,11
gpt-5.1,-46.38230420828196,11
claude-3-7-sonnet-20250219,-45.24109551710591,11
deepseek-chat-v3.1,-44.872694294275654,11
llama-3.3-70b-instruct,-44.27688606368726,11
claude-sonnet-4.5,-39.771648820052576,11
grok-4.1-fast,-37.52620121831498,11
kimi-k2,-27.15504528579675,11
gemini-2.5-flash,-20.038952555342366,10
doubao-1-5-pro-32k-250115,8.29435218136736,11
mistral-nemo,24.933861232099265,11
gpt-4o-mini,26.513691683600488,11
llama-3.2-3b-instruct,28.727392504315972,11
