country,n_models,mean_d_arabic,mean_d_french,mean_advantage,median_advantage,country_advantage_pct
Algeria,19,1.77,1.95,-19.666,-16.627,-10.17
Egypt,19,1.731,1.726,-2.75,0.0,0.29
Iraq,19,2.008,2.3,-25.937,-8.226,-14.54
Jordan,19,1.176,1.628,-247.827,-51.542,-38.44
Kuwait,19,2.509,2.355,-10.369,0.0,6.14
Lebanon,19,2.459,2.833,-41.331,-8.608,-15.21
Libya,18,2.009,2.876,-110.489,-55.62,-43.16
Morocco,19,1.721,1.61,-8.922,0.0,6.45
Palestine,17,1.979,1.927,-34.266,10.617,2.63
Qatar,18,1.937,1.713,-9.865,3.969,11.56
Tunisia,18,2.07,1.948,-24.021,6.709,5.89
Yemen,18,2.448,2.938,-34.817,-4.717,-20.02
