model_name,cultural_region,is_western,mean_distance,n_countries,open_source,origin,is_western_str
claude-3-7-sonnet-20250219,African-Islamic,False,1.144,23,False,US,Non-Western
claude-3-7-sonnet-20250219,Latin America,False,1.742,13,False,US,Non-Western
claude-3-7-sonnet-20250219,English-Speaking,True,3.016,3,False,US,Western
claude-3-7-sonnet-20250219,Catholic Europe,True,3.079,9,False,US,Western
claude-3-7-sonnet-20250219,Orthodox Europe,False,2.064,1,False,US,Non-Western
claude-3-7-sonnet-20250219,Confucian,False,1.108,4,False,US,Non-Western
claude-3-7-sonnet-20250219,Protestant Europe,True,3.02,2,False,US,Western
claude-3-7-sonnet-20250219,West & South Asia,False,0.891,2,False,US,Non-Western
claude-sonnet-4.5,African-Islamic,False,1.077,23,False,US,Non-Western
claude-sonnet-4.5,Latin America,False,2.005,13,False,US,Non-Western
claude-sonnet-4.5,English-Speaking,True,2.951,3,False,US,Western
claude-sonnet-4.5,Catholic Europe,True,2.765,9,False,US,Western
claude-sonnet-4.5,Orthodox Europe,False,0.379,1,False,US,Non-Western
claude-sonnet-4.5,Confucian,False,0.918,4,False,US,Non-Western
claude-sonnet-4.5,Protestant Europe,True,3.292,2,False,US,Western
claude-sonnet-4.5,West & South Asia,False,0.195,2,False,US,Non-Western
deepseek-chat,African-Islamic,False,0.964,23,True,China,Non-Western
deepseek-chat,Latin America,False,1.057,13,True,China,Non-Western
deepseek-chat,English-Speaking,True,2.738,3,True,China,Western
deepseek-chat,Catholic Europe,True,1.839,9,True,China,Western
deepseek-chat,Orthodox Europe,False,0.789,1,True,China,Non-Western
deepseek-chat,Confucian,False,1.422,4,True,China,Non-Western
deepseek-chat,Protestant Europe,True,2.569,2,True,China,Western
deepseek-chat,West & South Asia,False,0.665,2,True,China,Non-Western
deepseek-chat-v3.1,African-Islamic,False,1.126,23,True,China,Non-Western
deepseek-chat-v3.1,Latin America,False,1.149,13,True,China,Non-Western
deepseek-chat-v3.1,English-Speaking,True,2.733,3,True,China,Western
deepseek-chat-v3.1,Catholic Europe,True,2.388,9,True,China,Western
deepseek-chat-v3.1,Orthodox Europe,False,1.509,1,True,China,Non-Western
deepseek-chat-v3.1,Confucian,False,1.193,4,True,China,Non-Western
deepseek-chat-v3.1,Protestant Europe,True,2.59,2,True,China,Western
deepseek-chat-v3.1,West & South Asia,False,0.784,2,True,China,Non-Western
doubao-1-5-pro-32k-250115,African-Islamic,False,1.513,23,False,China,Non-Western
doubao-1-5-pro-32k-250115,Latin America,False,1.566,13,False,China,Non-Western
doubao-1-5-pro-32k-250115,English-Speaking,True,2.248,3,False,China,Western
doubao-1-5-pro-32k-250115,Catholic Europe,True,1.878,9,False,China,Western
doubao-1-5-pro-32k-250115,Orthodox Europe,False,2.545,1,False,China,Non-Western
doubao-1-5-pro-32k-250115,Confucian,False,1.743,4,False,China,Non-Western
doubao-1-5-pro-32k-250115,Protestant Europe,True,1.701,2,False,China,Western
doubao-1-5-pro-32k-250115,West & South Asia,False,1.544,2,False,China,Non-Western
gemini-2.5-flash,African-Islamic,False,1.534,23,False,US,Non-Western
