country,native_language,native_distance,english_distance,cultural_region,is_islamic,english_advantage
Tunisia,ar,2.1527182601226533,1.5654735547326522,African-Islamic,True,27.27921792034887
"Taiwan, Province of China",zh-tw,2.732502794981023,1.9932293311052571,Confucian,False,27.05481089474604
Jordan,ar,1.4413619647302067,1.0775009705642948,African-Islamic,True,25.244248361584816
Hong Kong,zh-hk,2.0730076985567374,1.559300736505874,Confucian,False,24.780755151489057
Palestine,ar,2.186651604619046,1.6578292763973432,African-Islamic,True,24.184114520329956
Lebanon,ar,2.556536807966632,2.022455649350871,African-Islamic,True,20.890806537635886
Haiti,fr,3.2791069605382086,2.6108025802713035,Latin America,False,20.38068255502146
Bolivia,es,1.6395688525388266,1.3145344612070837,Latin America,False,19.824381929946778
Morocco,ar,1.8736018552011788,1.536178583017985,African-Islamic,True,18.00933700222894
Kuwait,ar,2.6966419822595085,2.2205671284809934,African-Islamic,True,17.654358899345375
Mali,fr,2.430885855219917,2.0036486133313534,African-Islamic,True,17.575372408833754
Portugal,pt,3.623121046583009,2.9871641804525177,Catholic Europe,False,17.552735830624993
Burkina Faso,fr,2.144361283781751,1.768958116882958,African-Islamic,True,17.506526056875067
Nicaragua,es,1.9179456162597854,1.5848855195310816,Latin America,False,17.365460934090997
Yemen,ar,2.557756251373463,2.1262958195072335,African-Islamic,True,16.86870794019344
Qatar,ar,2.100353952992315,1.7643401561735552,African-Islamic,True,15.997960550413437
Hong Kong,zh-cn,1.8527903998371102,1.559300736505874,Confucian,False,15.840413646197577
Egypt,ar,1.874864569666324,1.5930356884691963,African-Islamic,True,15.031959414929139
Ecuador,es,2.182928199424994,1.895263565665109,Latin America,False,13.177924671808208
Mexico,es,1.7924194020703363,1.576793639313436,Latin America,False,12.029872166516467
Algeria,ar,1.9185721003583978,1.710878702268348,African-Islamic,True,10.825415320657049
Colombia,es,2.2270439068182277,1.9954430806666423,Latin America,False,10.399472836728798
Chile,es,1.8797032815413934,1.6995084528836415,Latin America,False,9.586344314406297
Iraq,ar,2.1408741539147433,2.011616772193522,African-Islamic,True,6.037598309310464
Kazakhstan,ru,1.2928604301097257,1.2287417318536642,African-Islamic,True,4.95944471365867
Libya,ar,2.2940360012577607,2.189799191472093,African-Islamic,True,4.543817521979484
Brazil,pt,2.0196700167890675,1.9474100794634772,Latin America,False,3.5778090839052687
Japan,ja,1.849014387958417,1.7876842777060378,Confucian,False,3.316908221579431
"Korea, Republic of",ko,1.4975670197855326,1.4531229621230646,Confucian,False,2.967750830198766
Kyrgyzstan,ru,1.477156617151254,1.4495290597003558,West & South Asia,False,1.870320122464661
Macao,pt,1.5054727605692582,1.4780398422261931,Confucian,False,1.8222128663883599
China,zh-cn,0.9744281780600765,0.9737133587944449,Confucian,False,0.07335781966555469
Belarus,ru,1.5320856725156964,1.5462488650644568,Orthodox Europe,False,-0.9244386787786055
Peru,es,1.3575020775553495,1.3879463029928087,Latin America,False,-2.242665108276269
Argentina,es,2.3500118238730057,2.4128899749831154,Latin America,False,-2.6756525423128115
Guatemala,es,1.9485327999831745,2.001471510584124,Latin America,False,-2.7168498575649567
Uruguay,es,3.0481758865554687,3.204411326824733,Latin America,False,-5.125538882397468
Luxembourg,de,2.770045992833987,2.9737400083388517,Catholic Europe,False,-7.353452470890877
Switzerland,de,2.1499811294970885,2.3165009017783804,Protestant Europe,False,-7.7451736667215885
Venezuela,es,2.7596581369785085,3.03358859615972,Latin America,False,-9.926246135730871
Austria,de,1.699867864407737,1.9006722165898116,Catholic Europe,False,-11.812938898756007
Spain,es,2.2054866331096363,2.472562238252999,Catholic Europe,False,-12.109599810487094
France,fr,2.3408645441524643,2.65210390261424,Catholic Europe,False,-13.295914931910916
Macao,zh-cn,1.3015055581236497,1.4780398422261931,Confucian,False,-13.563851725462381
Switzerland,it,2.0324254509634714,2.3165009017783804,Protestant Europe,False,-13.977164607943827
Belgium,fr,2.48999710248082,2.8692805682552036,Catholic Europe,False,-15.232285427019091
Belgium,de,2.3582921433663353,2.8692805682552036,Catholic Europe,False,-21.667732147869508
Luxembourg,fr,2.4196582698717295,2.9737400083388517,Catholic Europe,False,-22.899173216575537
Italy,it,1.4271232681533006,1.7767299561780614,Catholic Europe,False,-24.49730137727712
Germany,de,1.8485353412912064,2.331509659898773,Protestant Europe,False,-26.127405185026532
Switzerland,fr,1.7350729849872277,2.3165009017783804,Protestant Europe,False,-33.510285839384025
