country,original_country,config_country,language,model,is_english,is_english_native_country,native_language,native_languages,is_using_native_language,cultural_region,is_islamic,real_PC1,real_PC2,llm_PC1,llm_PC2,distance
Australia,Australia,Australia,en-native,claude-3-7-sonnet-20250219,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.2422310204336195,3.4541302327872607,3.313357617352637
Australia,Australia,Australia,en-native,claude-sonnet-4.5,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.522627069633016,2.780336285267228,2.978895176005988
Australia,Australia,Australia,en-native,deepseek-chat,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.972448414806629,1.2357183894190735,2.6511529240971083
Australia,Australia,Australia,en-native,deepseek-chat-v3.1,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.115853510664578,1.0427674279204808,1.7735183780570765
Australia,Australia,Australia,en-native,doubao-1-5-pro-32k-250115,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,3.206593641855808,1.9231543035548984,1.215513453064642
Australia,Australia,Australia,en-native,gemini-2.5-flash,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.072918380293153,4.0826377125928195,3.769205358074631
Australia,Australia,Australia,en-native,gemini-2.5-pro,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.090429964137575,4.053975378511204,3.751637299309985
Australia,Australia,Australia,en-native,gemini-3-pro-preview,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.831246904410658,3.899640643387289,4.020431094983445
Australia,Australia,Australia,en-native,gemma-3-4b-it,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,1.0507333776057792,2.5621428777997406,2.964160112394908
Australia,Australia,Australia,en-native,gpt-4o,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.297932639536375,1.6785043874553285,2.151597295328784
Australia,Australia,Australia,en-native,gpt-4o-mini,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.737465951825365,3.629212798735201,3.750236416733247
Australia,Australia,Australia,en-native,gpt-5.1,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.072918380293153,4.0826377125928195,3.769205358074631
Australia,Australia,Australia,en-native,grok-4.1-fast,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,4.309606028391595,2.752186634845698,2.238931471740274
Australia,Australia,Australia,en-native,kimi-k2,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,6.04761316655584,2.5167272805310272,3.2233635709653905
Australia,Australia,Australia,en-native,llama-3.2-3b-instruct,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,4.133086526420753,1.8567190701468623,1.3687627169222687
Australia,Australia,Australia,en-native,llama-3.3-70b-instruct,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,5.518836559421972,2.386046490771888,2.7179843776170767
Australia,Australia,Australia,en-native,mistral-medium-3.1,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,4.729725288801697,3.746151642025332,3.3176602269086293
Australia,Australia,Australia,en-native,mistral-nemo,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,4.4211054540240555,2.626847283905271,2.1772285859908527
Australia,Australia,Australia,en-native,phi-3-mini-128k-instruct,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,4.1448784367610045,3.900626695287937,3.2741522489826416
Australia,Australia,Australia,en-native,qwen3-max,True,True,en,[],True,English-Speaking,False,3.3721445203,0.7189674986,3.719239929771916,2.885401173624193,2.1940624630022065
Canada,Canada,Canada,en-native,claude-3-7-sonnet-20250219,True,True,fr,"['fr', 'en']",False,English-Speaking,False,3.146022511,0.9631136815,5.144410810452714,2.501174882862969,2.5217430587844616
Canada,Canada,Canada,en-native,claude-sonnet-4.5,True,True,fr,"['fr', 'en']",False,English-Speaking,False,3.146022511,0.9631136815,5.522627069633016,2.780336285267228,2.9917465166283352
Canada,Canada,Canada,en-native,deepseek-chat,True,True,fr,"['fr', 'en']",False,English-Speaking,False,3.146022511,0.9631136815,5.859308953387582,3.835164085206297,3.9510247835053836
Canada,Canada,Canada,en-native,deepseek-chat-v3.1,True,True,fr,"['fr', 'en']",False,English-Speaking,False,3.146022511,0.9631136815,6.164631838767285,2.4126484440747107,3.348604679802646
Canada,Canada,Canada,en-native,doubao-1-5-pro-32k-250115,True,True,fr,"['fr', 'en']",False,English-Speaking,False,3.146022511,0.9631136815,5.786545354127718,2.0509450002608816,2.8558252508086563
