model,mean_distance,std_distance,n_countries
gpt-4o,1.266955162743113,0.7391460282167536,19
qwen3-max,1.3835817918464677,0.8801323045262051,19
claude-sonnet-4.5,1.4466928954075453,1.1113811079816345,19
deepseek-chat,1.4665829447033092,1.0406947238634292,19
doubao-1-5-pro-32k-250115,1.5543504146572458,0.8659079293585807,19
mistral-medium-3.1,1.6582288145822481,1.2290740522155639,19
claude-3-7-sonnet-20250219,1.6604876945845493,1.2955795917083315,19
deepseek-chat-v3.1,1.665987964477975,1.087854294058681,19
llama-3.3-70b-instruct,1.6747762700939839,0.7278160247257749,19
gemini-2.5-flash,1.7152945506265715,0.977463416666384,19
kimi-k2,1.8237121075614418,1.3736664318385519,19
gpt-5.1,1.8440826224707283,1.3588569934686177,19
gemini-3-pro-preview,1.8971788401480716,1.2957188626868161,19
gemini-2.5-pro,2.0801007210476277,1.3240607922537169,19
gemma-3-4b-it,2.3232544225486755,0.8368937243603957,19
grok-4.1-fast,2.3348266143987324,0.7583680674074268,19
gpt-4o-mini,2.600514697045097,1.4133449980334154,19
phi-3-mini-128k-instruct,2.8334807520015284,1.1602532879150043,19
mistral-nemo,3.057889817505856,1.0248118724061885,19
llama-3.2-3b-instruct,3.5244605876887376,1.6122976241873064,19
