country,mean_distance,std_distance,n_models,cultural_region,real_PC1,real_PC2
Singapore,0.9925935567004112,0.9638680409798446,20,West & South Asia,0.3463254582,-0.0457447138
Rwanda,1.2316695473184547,1.1255869250925956,20,African-Islamic,-1.1913142687,-1.6113103613
Ghana,1.403676700455157,1.18999096134783,20,African-Islamic,-1.2028386135,-2.3556774584
Nigeria,1.455706571469506,1.1267086407177298,20,African-Islamic,-1.1874510192,-1.5994031142
Philippines,1.4841280093522857,1.0753513518195983,20,Other,-0.052852598,-1.7208171896
Malaysia,1.5223969304664808,0.9516817987512729,20,West & South Asia,-0.5742040464,-0.8429698737
Zimbabwe,1.6670129497944974,1.4825968283372055,20,African-Islamic,-1.7217417889,-1.3100210716
Pakistan,1.7038400800925366,0.941261938656677,20,West & South Asia,-0.7922105393,-1.5493253496
Zambia,1.818831423586337,0.6240841408003931,20,African-Islamic,-0.9866468608,-0.512282623
Kenya,1.8274757794648877,0.6359620956456157,20,African-Islamic,-0.1760740085,-0.9395733394
Malta,1.9099422082412594,1.6038030804639993,20,Catholic Europe,-0.2817419412,-1.503431732
Puerto Rico,2.0709325649750903,1.1920163133066917,20,Latin America,0.873943067,-1.5939890585
Trinidad and Tobago,2.082686783109193,1.4516135059423676,20,Latin America,-0.5709646656,-2.1450367793
South Africa,2.2466637097836353,1.0321811013473399,20,African-Islamic,-0.0176905444,-0.8445139031
United Kingdom,2.351731533329075,0.7878254672706003,20,English-Speaking,3.1259015109,1.1141712012
Canada,2.6290533239589973,1.0074197076909261,20,English-Speaking,3.146022511,0.9631136815
New Zealand,2.632881841922972,0.9569654681699848,20,English-Speaking,3.4231011101,0.805576675
Australia,2.8310528072803214,0.8361496159557522,20,English-Speaking,3.3721445203,0.7189674986
Ireland,3.959541380531433,1.0596549972632354,20,Catholic Europe,1.478989121,-0.6756696734
