model,overall_dist,native_dist,english_dist,diff,english_better
gpt-4o,1.2567319793031304,1.2783668267281643,1.2350971318780966,-0.04326969485006771,True
deepseek-chat,1.5006760946673894,1.6461314824635318,1.3552207068712472,-0.2909107755922846,True
deepseek-chat-v3.1,1.586533456322133,1.6677400289393718,1.505326883704894,-0.1624131452344777,True
doubao-1-5-pro-32k-250115,1.6030020429943992,1.4614183599082953,1.744585726080503,0.28316736617220784,False
qwen3-max,1.7027593806996888,1.9333807138143653,1.4721380475850123,-0.46124266622935295,True
gemini-2.5-flash,1.7498918813777036,1.615347673018703,1.884436089736704,0.269088416718001,False
claude-3-7-sonnet-20250219,1.7731910057435618,1.7353944784583046,1.8109875330288188,0.07559305457051413,False
claude-sonnet-4.5,1.7849218092467551,1.7579605779978265,1.8118830404956838,0.05392246249785737,False
gpt-5.1,1.7940443372684616,1.6390269826111954,1.949061691925728,0.3100347093145326,False
mistral-medium-3.1,1.845326641240788,1.8811432788942772,1.809510003587299,-0.07163327530697816,True
llama-3.3-70b-instruct,1.8629384789949528,2.1384002086090264,1.587476749380879,-0.5509234592281473,True
gemini-3-pro-preview,1.8893990082991015,1.8042977758249423,1.9745002407732604,0.17020246494831803,False
kimi-k2,1.906824805645996,2.0121240333142536,1.8015255779777386,-0.210598455336515,True
gemini-2.5-pro,2.3004162313325955,2.3568899577142424,2.2439425049509487,-0.11294745276329365,True
gemma-3-4b-it,2.3571230539062293,2.3855763881570136,2.3286697196554456,-0.056906668501568,True
gpt-4o-mini,2.386918090283536,2.361610939702023,2.4122252408650486,0.050614301163025566,False
grok-4.1-fast,2.477992794167315,2.43882715503895,2.51715843329568,0.07833127825673003,False
mistral-nemo,2.8564239455296345,2.84180038093036,2.8710475101289097,0.02924712919854988,False
phi-3-mini-128k-instruct,2.8809673607754345,3.276480010951742,2.4854547105991274,-0.7910253003526146,True
llama-3.2-3b-instruct,3.0990373989554065,3.321159960153505,2.876914837757308,-0.44424512239619673,True
