family,n_models,avg_overall_dist,avg_native_dist,avg_english_dist,english_advantage,eng_better_count,consistency
GPT,3,1.8125648022850427,1.7596682496804608,1.8654613548896244,-6.0121051356342115,1,33.33333333333333
Claude,2,1.7790564074951585,1.7466775282280655,1.8114352867622512,-3.70748220479368,0,0.0
Llama,2,2.4809879389751797,2.7297800843812654,2.2321957935690935,18.22799915858258,2,100.0
Qwen,1,1.7027593806996888,1.9333807138143653,1.4721380475850123,23.8567946257914,1,100.0
Gemini,3,1.9799023736698,1.9255118021859625,2.034292945153638,-5.649466435063138,1,33.33333333333333
Gemma,1,2.3571230539062293,2.3855763881570136,2.3286697196554456,2.385447340277017,1,100.0
Mistral,2,2.3508752933852115,2.3614718299123183,2.3402787568581043,0.8974518681851449,1,50.0
DeepSeek,2,1.543604775494761,1.656935755701452,1.4302737952880706,13.679586527929416,2,100.0
Grok,1,2.477992794167315,2.43882715503895,2.51715843329568,-3.2118421387463605,0,0.0
Phi,1,2.8809673607754345,3.276480010951742,2.4854547105991274,24.142533991008236,1,100.0
Kimi,1,1.906824805645996,2.0121240333142536,1.8015255779777386,10.466474822112705,1,100.0
