country,native_language,native_distance,english_distance,english_advantage,n_pairs
Belgium,fr,2.48999710248082,2.8692805682552036,-15.232285427019091,20
Belgium,de,2.3582921433663353,2.8692805682552036,-21.667732147869508,20
Hong Kong,zh-cn,1.8527903998371102,1.559300736505874,15.840413646197577,20
Hong Kong,zh-hk,2.073007698556737,1.559300736505874,24.78075515148904,20
Luxembourg,fr,2.419658269871729,2.9737400083388517,-22.899173216575562,20
Luxembourg,de,2.770045992833987,2.9737400083388517,-7.353452470890877,20
Macao,zh-cn,1.3015055581236494,1.4780398422261931,-13.563851725462401,20
Macao,pt,1.505472760569258,1.4780398422261931,1.8222128663883452,20
Switzerland,fr,1.7350729849872277,2.3165009017783804,-33.510285839384025,20
Switzerland,de,2.1499811294970885,2.3165009017783804,-7.7451736667215885,20
Switzerland,it,2.032425450963471,2.3165009017783804,-13.977164607943852,20
