model,overall_dist,native_dist,english_dist,diff,english_better
claude-3-7-sonnet-20250219,1.6192431458483358,1.634482402395676,1.5910540500868284,-0.04342835230884767,True
claude-sonnet-4.5,1.7197435427605496,1.7187473726047198,1.6745723874674254,-0.04417498513729434,True
gpt-4o,1.776569280661612,1.8670546381263462,1.5894558876666645,-0.27759875045968174,True
deepseek-chat,1.8279728331950071,1.877551230871823,1.730668826117696,-0.14688240475412706,True
llama-3.3-70b-instruct,1.8448822462034657,1.868815305585359,1.6661963009794334,-0.20261900460592552,True
qwen3-max,2.002274410729862,2.105969467286834,1.7556143170895462,-0.3503551501972879,True
deepseek-chat-v3.1,2.029958207970126,2.045901882262848,2.0514193628401127,0.005517480577264866,False
kimi-k2,2.112323774771825,1.9919550874820386,2.0199590062884614,0.028003918806422723,False
gemini-2.5-flash,2.1492830698199192,2.032888149700884,2.07415933402006,0.04127118431917598,False
gemini-3-pro-preview,2.1628261110275075,2.1013373594872684,2.0788779267141986,-0.022459432773069832,True
mistral-medium-3.1,2.2695591943901374,2.214429052165856,2.1689953396269237,-0.04543371253893236,True
gpt-4o-mini,2.3568651112760604,2.2127733577185453,2.416328653229442,0.2035552955108968,False
grok-4.1-fast,2.4095659827461047,2.338134102178478,2.4464317755971945,0.10829767341871666,False
gpt-5.1,2.4131619946554186,2.1422819776669875,2.536666976074087,0.39438499840709973,False
gemma-3-4b-it,2.4475062137224186,2.3066382174468174,2.7205854652229275,0.41394724777611014,False
phi-3-mini-128k-instruct,2.521237318252209,3.156507975751504,1.9172486932406831,-1.2392592825108208,True
gemini-2.5-pro,2.5936655157884503,2.719405611456767,2.444802398878721,-0.2746032125780462,True
mistral-nemo,2.6165111416510625,2.601526473359164,2.7356498794237014,0.13412340606453732,False
llama-3.2-3b-instruct,3.1349878396699715,3.624002029842093,2.9631843533044067,-0.6608176765376865,True
