country,model,native_language,cultural_region,native_dist,english_dist,english_advantage
Algeria,claude-3-7-sonnet-20250219,ar,Unknown,1.8056072056118857,1.0335306961564157,42.75993732500796
Algeria,claude-sonnet-4.5,ar,Unknown,1.8035716433392956,1.8969678297377908,-5.178401797533974
Algeria,deepseek-chat,ar,Unknown,1.4946257274705834,1.2376196124507082,17.19534933035157
Algeria,deepseek-chat-v3.1,ar,Unknown,1.8128852251594476,1.477835135542985,18.481594144328366
Algeria,gemini-2.5-flash,ar,Unknown,1.8035716433392956,1.8128852251594476,-0.5163965542787063
Algeria,gemini-2.5-pro,ar,Unknown,1.9375398661043284,0.2519369079087099,86.99707230203933
Algeria,gemini-3-pro-preview,ar,Unknown,1.8128852251594476,1.477835135542985,18.481594144328366
Algeria,gemma-3-4b-it,ar,Unknown,1.1720747693197195,2.5638196826007777,-118.74199067426703
Algeria,gpt-4o,ar,Unknown,0.643049107702744,1.0384322915323918,-61.485690454051245
Algeria,gpt-4o-mini,ar,Unknown,0.8785044419593243,1.2126906617164466,-38.04035629140227
Algeria,gpt-5.1,ar,Unknown,1.960362062369989,1.8035716433392956,7.998033732663686
Algeria,grok-4.1-fast,ar,Unknown,2.19055899105027,3.074859051737429,-40.36869421458395
Algeria,kimi-k2,ar,Unknown,0.804955288518763,1.2725632264325994,-58.09116911006379
Algeria,llama-3.2-3b-instruct,ar,Unknown,4.893916952690971,4.051946302697651,17.204432730113126
Algeria,llama-3.3-70b-instruct,ar,Unknown,1.477835135542985,1.2126906617164466,17.941410882014207
Algeria,mistral-medium-3.1,ar,Unknown,1.477835135542985,1.9305147799704243,-30.63126823420097
Algeria,mistral-nemo,ar,Unknown,3.41609994765672,4.746492620905888,-38.94478187506643
Algeria,phi-3-mini-128k-instruct,ar,Unknown,5.173193968440072,2.4020446700602687,53.56747331118182
Algeria,qwen3-max,ar,Unknown,1.739887483795983,1.739887483795983,0.0
Argentina,claude-3-7-sonnet-20250219,es,Unknown,1.3132323534311996,2.031647315705672,-54.705853111020694
Argentina,claude-sonnet-4.5,es,Unknown,2.2939676210937523,2.426740523378713,-5.7879152723897285
Argentina,deepseek-chat,es,Unknown,2.566906630513879,2.5942527632315957,-1.0653341415944835
Argentina,deepseek-chat-v3.1,es,Unknown,2.835106572498732,2.631872987035893,7.168463698481655
Argentina,gemini-2.5-flash,es,Unknown,3.1611023006263554,3.1611023006263554,0.0
Argentina,gemini-2.5-pro,es,Unknown,5.265171062440545,4.803847324944085,8.761799607753371
Argentina,gemini-3-pro-preview,es,Unknown,3.508319531622428,3.134809879042317,10.646397775728856
Argentina,gemma-3-4b-it,es,Unknown,2.4270652301720834,2.90998756388457,-19.89737761099426
Argentina,gpt-4o,es,Unknown,3.736817183502748,2.835106572498732,24.13044488729275
Argentina,gpt-4o-mini,es,Unknown,3.681261496224424,5.360485368686567,-45.61544661210265
