model,stage,country,language,native_PC1,native_PC2,roleplay_PC1,roleplay_PC2,distance_to_native,is_english
mistral-medium-3.1,Stage3,Algeria,ar,0.8137662083,3.5958800963,-1.769294507790525,-1.915258847229155,6.086448481495078,False
mistral-medium-3.1,Stage3,Algeria,en,0.8137662083,3.5958800963,-1.858251131025047,-1.8756565689538307,6.089120637733393,True
mistral-medium-3.1,Stage3,Argentina,en,0.8137662083,3.5958800963,3.384377113784118,1.92649178841382,3.0651097451642673,True
mistral-medium-3.1,Stage3,Argentina,es,0.8137662083,3.5958800963,2.0116596994656257,2.989707459851044,1.3425327114660741,False
mistral-medium-3.1,Stage3,Australia,en-native,0.8137662083,3.5958800963,4.729725288801697,3.746151642025332,3.9188412901798384,True
mistral-medium-3.1,Stage3,Austria,de,0.8137662083,3.5958800963,2.180307575847992,2.153015152494573,1.9872832096313233,False
mistral-medium-3.1,Stage3,Austria,en,0.8137662083,3.5958800963,2.197819159692413,2.124352818412957,2.020147297061207,True
mistral-medium-3.1,Stage3,Belgium,de,0.8137662083,3.5958800963,4.718724912694166,3.0564722467353658,3.9420379642002064,False
mistral-medium-3.1,Stage3,Belgium,en,0.8137662083,3.5958800963,3.3467630231101597,3.0139059390344,2.598993417375931,True
mistral-medium-3.1,Stage3,Belgium,fr,0.8137662083,3.5958800963,4.100991682325777,2.965393735251552,3.347142717087532,False
mistral-medium-3.1,Stage3,Bolivia,en,0.8137662083,3.5958800963,-0.7200668601105863,-1.237341202517956,5.07076641200296,True
mistral-medium-3.1,Stage3,Bolivia,es,0.8137662083,3.5958800963,-1.1416661097040626,-1.5700392189094965,5.523625432770518,False
mistral-medium-3.1,Stage3,Brazil,en,0.8137662083,3.5958800963,1.9627891172463423,0.5410263528620037,3.2637991726024835,True
mistral-medium-3.1,Stage3,Brazil,pt,0.8137662083,3.5958800963,1.9881304686974184,1.589181318547932,2.325074493587339,False
mistral-medium-3.1,Stage3,Belarus,en,0.8137662083,3.5958800963,-1.9814917379993644,0.0676399794897386,4.501327060792076,True
mistral-medium-3.1,Stage3,Belarus,ru,0.8137662083,3.5958800963,-0.7641921585214356,0.5684146774742043,3.414015153687491,False
mistral-medium-3.1,Stage3,Canada,en-native,0.8137662083,3.5958800963,4.60788228723948,3.5402003555542363,3.794524615020518,True
mistral-medium-3.1,Stage3,Canada,fr,0.8137662083,3.5958800963,5.2742589402122375,2.5493717176684614,4.581612728940314,False
mistral-medium-3.1,Stage3,Chile,en,0.8137662083,3.5958800963,2.3157892672723155,0.4480334662621427,3.4878376791251693,True
mistral-medium-3.1,Stage3,Chile,es,0.8137662083,3.5958800963,0.0588610698784921,0.8057674151615988,2.8904343170991647,False
mistral-medium-3.1,Stage3,China,en,0.8137662083,3.5958800963,-0.7930690033460729,-0.2805714474348252,4.196283590072267,True
mistral-medium-3.1,Stage3,China,zh-cn,0.8137662083,3.5958800963,-0.6172925462381781,-0.056897771075825,3.9231002163252273,False
mistral-medium-3.1,Stage3,"Taiwan, Province of China",en,0.8137662083,3.5958800963,0.3200586568473467,1.1890076540221732,2.4569863857493806,True
mistral-medium-3.1,Stage3,"Taiwan, Province of China",zh-tw,0.8137662083,3.5958800963,3.3189971120872657,1.7960973224561154,3.084704185868711,False
mistral-medium-3.1,Stage3,Colombia,en,0.8137662083,3.5958800963,1.063912690149187,-0.5724238827792587,4.175803075384363,True
mistral-medium-3.1,Stage3,Colombia,es,0.8137662083,3.5958800963,-0.0034818387896016,-0.9317238524736215,4.600770792750087,False
mistral-medium-3.1,Stage3,Ecuador,en,0.8137662083,3.5958800963,-0.2423435125632633,-1.0335963024883998,4.74841231038762,True
mistral-medium-3.1,Stage3,Ecuador,es,0.8137662083,3.5958800963,-0.4531431373600013,-1.1999453106841698,4.960342793033112,False
mistral-medium-3.1,Stage3,France,en,0.8137662083,3.5958800963,3.551051440170007,3.89859667660175,2.7539730878502104,True
mistral-medium-3.1,Stage3,France,fr,0.8137662083,3.5958800963,1.771051328022688,4.913219577990991,1.6284281103150882,False
mistral-medium-3.1,Stage3,Palestine,ar,0.8137662083,3.5958800963,-2.3513232772311885,0.7397149799347293,4.263269944932167,False
mistral-medium-3.1,Stage3,Palestine,en,0.8137662083,3.5958800963,-3.159872598210615,-0.9472441084702552,6.03570898110375,True
mistral-medium-3.1,Stage3,Germany,de,0.8137662083,3.5958800963,3.5791134891469305,3.8341201184207594,2.7755907284445973,False
mistral-medium-3.1,Stage3,Germany,en,0.8137662083,3.5958800963,2.40210757675226,3.009043555980308,1.6932824418245125,True
mistral-medium-3.1,Stage3,Ghana,en-native,0.8137662083,3.5958800963,-1.769294507790525,-1.915258847229155,6.086448481495078,True
mistral-medium-3.1,Stage3,Guatemala,en,0.8137662083,3.5958800963,-0.9308664849073246,-1.403690210713726,5.29522865313493,True
mistral-medium-3.1,Stage3,Guatemala,es,0.8137662083,3.5958800963,-1.3524657345008009,-1.7363882271052664,5.755488363536299,False
mistral-medium-3.1,Stage3,Haiti,en,0.8137662083,3.5958800963,-2.710211299640215,-0.6790226502597071,5.5401453924073385,True
mistral-medium-3.1,Stage3,Haiti,fr,0.8137662083,3.5958800963,-2.921010924436953,-0.845371658455477,5.802868030580521,False
