country,colonial_power,colonial_history
Algeria,FR,French
Argentina,ES,Spanish
Austria,None,None
Belarus,RU,Russian
Belgium,None,None
Bolivia,ES,Spanish
Brazil,PT,Portuguese
Burkina Faso,FR,French
Chile,ES,Spanish
China,CN,Chinese
Colombia,ES,Spanish
Ecuador,ES,Spanish
Egypt,UK,British
France,None,None
Germany,None,None
Guatemala,ES,Spanish
Haiti,FR,French
Hong Kong,UK,British
Iraq,UK,British
Italy,None,None
Japan,None,None
Jordan,UK,British
Kazakhstan,RU,Russian
"Korea, Republic of",JP,Japanese
Kuwait,UK,British
Kyrgyzstan,RU,Russian
Lebanon,FR,French
Libya,IT,None
Luxembourg,None,None
Macao,PT,Portuguese
Mali,FR,French
Mexico,ES,Spanish
Morocco,FR,French
Nicaragua,ES,Spanish
Palestine,UK,British
Peru,ES,Spanish
Portugal,None,None
Qatar,UK,British
Russian Federation,RU,Russian
Spain,None,None
Switzerland,None,None
"Taiwan, Province of China",JP,Japanese
Tunisia,FR,French
Uruguay,ES,Spanish
Venezuela,ES,Spanish
Yemen,UK,British
