country,LLM_EN_PC1,LLM_EN_PC2,WVS_PC1,WVS_PC2,cultural_region,is_islamic
Argentina,1.887075,1.662165,0.7567549099,-0.1870992258,Latin America,False
Bolivia,-0.316955,-0.73257,-0.5603481911,-1.4017052601,Latin America,False
Brazil,1.39331,0.45224,-0.0028654771,-0.3617932902,Latin America,False
Chile,1.271915,0.564155,0.2044324753,-0.1634628064,Latin America,False
Colombia,0.7693300000000001,-0.6157699999999999,0.1236542844,-1.9600009252,Latin America,False
Ecuador,-0.107385,-0.56961,-0.1937492473,-2.083660053,Latin America,False
Guatemala,-0.865485,-0.8178249999999998,0.3299346758,-1.0912415515,Latin America,False
Haiti,-1.602505,-0.6594300000000001,0.2765572373,-0.7082437845,Latin America,False
Mexico,0.419095,-0.4850049999999998,0.5651309924,-1.602643636,Latin America,False
Nicaragua,-0.765505,-0.8962950000000001,-0.5311941554,-1.9529320217,Latin America,False
Peru,-0.2675600000000001,-0.3855699999999999,-0.5384933701,-1.0322475217,Latin America,False
Uruguay,3.326535,2.123375,1.4373250896,-0.1251758843,Latin America,False
Venezuela,-0.8222449999999999,1.29351,-0.2621954236,-1.170963311,Latin America,False
Algeria,-1.6063750000000003,-1.151635,-1.1706383546,-0.8798837916000001,African-Islamic,True
Burkina Faso,-1.56144,-1.048835,-0.9219569761,-1.251041676,African-Islamic,True
Egypt,-1.5755500000000002,-1.3111849999999998,-2.1147617881,-0.8955747726000001,African-Islamic,True
Iraq,-2.231885000000001,-0.7299800000000001,-1.5066854982,-0.8808517505000001,African-Islamic,True
Jordan,-1.5226700000000002,-1.4631649999999998,-1.7928725246,-2.0077689074,African-Islamic,True
Kazakhstan,-0.54525,-0.4668700000000001,-0.6976147645,-0.5545094835000001,African-Islamic,True
Kuwait,-1.2552599999999998,-2.0606199999999992,0.029266015,-1.3354592578,African-Islamic,True
Lebanon,-1.571675,0.38749,-1.1688407269,-0.5401306507,African-Islamic,True
Libya,-2.21609,-0.8107199999999999,-1.3865170222,-2.0179208254,African-Islamic,True
Mali,-1.45943,-1.37225,-0.2462644319,-1.4322312582,African-Islamic,True
Morocco,-1.2139400000000002,-1.40498,-1.4556488904,-0.9724022239,African-Islamic,True
Palestine,-1.49166,-0.305445,-1.7382456192,-1.0527858063,African-Islamic,False
Qatar,-1.0643300000000002,-2.3888700000000003,-0.6791841757,-2.727320394,African-Islamic,True
Tunisia,-1.29312,-0.249485,-1.9271277084,-0.9442858035,African-Islamic,True
Yemen,-2.7981,-1.0437299999999998,-1.5902777922,-1.5050021996,African-Islamic,True
Austria,2.6204249999999996,2.55728,2.1712347371,1.1034899963,Catholic Europe,False
Belgium,3.89094,3.131725,2.414948385,0.9036150402,Catholic Europe,False
France,3.78159,3.3399650000000003,2.6781764891,1.2127103654,Catholic Europe,False
Italy,1.7750850000000002,1.34661,1.1389265243,0.5317781781,Catholic Europe,False
Luxembourg,4.786775,1.83569,2.2777526542,0.9558079614,Catholic Europe,False
Portugal,2.253405,1.420915,-0.0753804747,-0.2549489797,Catholic Europe,False
Spain,3.0110200000000003,2.4312949999999995,1.6710847877,0.7933110579,Catholic Europe,False
Germany,3.70289,3.2504050000000007,2.3152653359,1.8350159795,Protestant Europe,False
Switzerland,4.8433,2.0159499999999997,3.2226643402,1.2877405884,Protestant Europe,False
Belarus,-0.87202,0.81464,-0.3650420875,0.5155900749,Orthodox Europe,False
Russian Federation,-0.462955,0.230675,-0.717286871,0.4653476341,Orthodox Europe,False
Kyrgyzstan,-0.980765,-0.63105,-0.89783939,-1.5967565053,West & South Asia,False
China,0.353985,0.5828399999999999,0.0073786687,0.7047612710000001,Confucian,False
Hong Kong,0.452475,2.8506549999999997,0.6066381532,1.7837595498,Confucian,False
Japan,0.7864899999999999,1.13037,1.7060465449,2.1182738603,Confucian,False
"Korea, Republic of",0.12682,0.48993,0.0242018019,1.3416346456,Confucian,False
Macao,0.41956,0.7266000000000001,0.8514381356,1.6779654488,Confucian,False
"Taiwan, Province of China",1.6033949999999997,1.1127999999999998,-0.1549079216,1.3506481773,Confucian,False
