country,cultural_region,native_language,native_distance_mean,en_distance_mean,advantage_mean
Argentina,Latin America,es,2.3500148597076738,2.4128934755902587,-2.675668863234618
Bolivia,Latin America,es,1.6395663143749772,1.3145380727565468,19.824037537776277
Brazil,Latin America,pt,2.019666864063987,1.9474128069158312,3.5775235230014863
Chile,Latin America,es,1.879709042070401,1.6995097244807116,9.586553746169638
Colombia,Latin America,es,2.22703784444849,1.9954399537824243,10.399369334624808
Ecuador,Latin America,es,2.182923392444144,1.8952661114330265,13.17761686034423
Guatemala,Latin America,es,1.9485366603096028,2.0014801377213205,-2.7170891105177097
Haiti,Latin America,fr,3.2791141499512677,2.6108013801547076,20.380893718094324
Mexico,Latin America,es,1.792422101426896,1.576790385116251,12.030186201062056
Nicaragua,Latin America,es,1.9179499112766296,1.5848919435143822,17.365311044048948
Peru,Latin America,es,1.3575020529441937,1.3879606217881817,-2.243721751869787
Uruguay,Latin America,es,3.048185216826845,3.2044083523689837,-5.125119519632295
Venezuela,Latin America,es,2.7596529486830788,3.0335912531553584,-9.92654908302888
Algeria,African-Islamic,ar,1.9185763965808371,1.7108825658292148,10.825413630740012
Burkina Faso,African-Islamic,fr,2.144370351334087,1.768949896766829,17.507258218418105
Egypt,African-Islamic,ar,1.8748619613611264,1.5930396429492977,15.031630286382738
Iraq,African-Islamic,ar,2.140873889667323,2.011619386017139,6.037464620126178
Jordan,African-Islamic,ar,1.441363026019479,1.077520158228476,25.24297218833238
Kazakhstan,African-Islamic,ru,1.292851013709604,1.228739947737838,4.958890490236046
Kuwait,African-Islamic,ar,2.696644388196014,2.220572219366354,17.654243581896235
Lebanon,African-Islamic,ar,2.5565342121249213,2.0224430044078763,20.89122082481826
Libya,African-Islamic,ar,2.294044597321678,2.1898030861919584,4.544005432650375
Mali,African-Islamic,fr,2.4308868161296315,2.003648705330746,17.575401206014124
Morocco,African-Islamic,ar,1.8736003090796227,1.5361832754533475,18.009018892189772
Palestine,African-Islamic,ar,2.186661656763017,1.6578353266432888,24.184186359336728
Qatar,African-Islamic,ar,2.1003435194980056,1.7643469448085056,15.997220053308476
Tunisia,African-Islamic,ar,2.152711459796415,1.5654632731909393,27.279465807322488
Yemen,African-Islamic,ar,2.557769100353375,2.126310259811974,16.868560984718744
Austria,Catholic Europe,de,1.699867612610742,1.900685543713509,-11.813739470825077
Belgium,Catholic Europe,fr,2.4899918918013517,2.8692829483488387,-15.23262215416669
France,Catholic Europe,fr,2.3408585280793175,2.652106364730397,-13.29631128569138
Italy,Catholic Europe,it,1.4271281559981088,1.7767234986102751,-24.49642249316184
Luxembourg,Catholic Europe,fr,2.419657741810385,2.9737416316307534,-22.899267125515177
Portugal,Catholic Europe,pt,3.623129845495567,2.987171797339534,17.55272582755166
Spain,Catholic Europe,es,2.2054949926719223,2.4725639856678843,-12.10925410773262
Germany,Protestant Europe,de,1.8485385585732077,2.331515084085396,-26.127479098135417
Switzerland,Protestant Europe,fr,1.7350740752882856,2.316510096561764,-33.510731879091196
Belarus,Orthodox Europe,ru,1.5320958694117366,1.5462592667843065,-0.9244458950214284
Russian Federation,Orthodox Europe,ru,1.6134898849720891,1.4630707274937789,9.32259686777722
Kyrgyzstan,West & South Asia,ru,1.4771642132892606,1.44951892700563,1.871510698331356
China,Confucian,zh-cn,0.9744281301037404,0.9737100313182582,0.0736943816888562
Hong Kong,Confucian,zh-hk,2.073011922229139,1.559297913623216,24.78104458046336
Japan,Confucian,ja,1.849015625529601,1.7876798902724933,3.317210217709209
"Korea, Republic of",Confucian,ko,1.497557373893902,1.4531121615782694,2.9678470481613286
Macao,Confucian,zh-cn,1.3015081648143318,1.4780441452915851,-13.563954898618515
"Taiwan, Province of China",Confucian,zh-tw,2.7324900603479434,1.9932341684814352,27.054293905551276
