country,cultural_region,native_language,native_distance_mean,en_distance_mean,advantage_mean
Algeria,Middle East,ar,1.9185763965808371,1.7108825658292148,10.825413630740012
Egypt,Middle East,ar,1.8748619613611264,1.5930396429492977,15.031630286382738
Iraq,Middle East,ar,2.140873889667323,2.011619386017139,6.037464620126178
Jordan,Middle East,ar,1.441363026019479,1.077520158228476,25.24297218833238
Kuwait,Middle East,ar,2.696644388196014,2.220572219366354,17.654243581896235
Lebanon,Middle East,ar,2.5565342121249213,2.0224430044078763,20.89122082481826
Libya,Middle East,ar,2.294044597321678,2.1898030861919584,4.544005432650375
Morocco,Middle East,ar,1.8736003090796227,1.5361832754533475,18.009018892189772
Palestine,Middle East,ar,2.186661656763017,1.6578353266432888,24.184186359336728
Qatar,Middle East,ar,2.1003435194980056,1.7643469448085056,15.997220053308476
Tunisia,Middle East,ar,2.152711459796415,1.5654632731909393,27.279465807322488
Yemen,Middle East,ar,2.557769100353375,2.126310259811974,16.868560984718744
China,Confucian,zh-cn,0.9744281301037404,0.9737100313182582,0.0736943816888562
Hong Kong,Confucian,zh-hk,2.073011922229139,1.559297913623216,24.78104458046336
Japan,Confucian,ja,1.849015625529601,1.7876798902724933,3.317210217709209
"Korea, Republic of",Confucian,ko,1.497557373893902,1.4531121615782694,2.9678470481613286
Macao,Confucian,zh-hk,1.3015081648143318,1.4780441452915851,-13.563954898618515
"Taiwan, Province of China",Confucian,zh-tw,2.7324900603479434,1.9932341684814352,27.054293905551276
