country,cultural_region,native_language,native_distance_mean,en_distance_mean,advantage_mean
Argentina,Latin America,es,2.3500148597076738,2.4128934755902587,-2.675668863234618
Bolivia,Latin America,es,1.6395663143749772,1.3145380727565468,19.824037537776277
Brazil,Latin America,pt,2.019666864063987,1.9474128069158312,3.5775235230014863
Chile,Latin America,es,1.879709042070401,1.6995097244807116,9.586553746169638
Colombia,Latin America,es,2.22703784444849,1.9954399537824243,10.399369334624808
Ecuador,Latin America,es,2.182923392444144,1.8952661114330265,13.17761686034423
Guatemala,Latin America,es,1.9485366603096028,2.0014801377213205,-2.7170891105177097
Haiti,Latin America,fr,3.2791141499512677,2.6108013801547076,20.380893718094324
Mexico,Latin America,es,1.792422101426896,1.576790385116251,12.030186201062056
Nicaragua,Latin America,es,1.9179499112766296,1.5848919435143822,17.365311044048948
Peru,Latin America,es,1.3575020529441937,1.3879606217881817,-2.243721751869787
Uruguay,Latin America,es,3.048185216826845,3.2044083523689837,-5.125119519632295
Venezuela,Latin America,es,2.7596529486830788,3.0335912531553584,-9.92654908302888
Burkina Faso,Sub-Saharan Africa,fr,2.144370351334087,1.768949896766829,17.507258218418105
Mali,Sub-Saharan Africa,fr,2.4308868161296315,2.003648705330746,17.575401206014124
