country,native_language,english_distance,native_distance,advantage,region
Algeria,ar,1.7108825658292148,1.9185763965808373,10.825413630740012,African-Islamic
Argentina,es,2.4128934755902587,2.3500148597076738,-2.675668863234618,Latin America
Austria,de,1.900685543713509,1.699867612610742,-11.813739470825077,Catholic Europe
Belarus,ru,1.5462592667843063,1.5320958694117366,-0.9244458950214285,Orthodox Europe
Belgium,fr,2.8692829483488387,2.4899918918013517,-15.23262215416669,Catholic Europe
Bolivia,es,1.3145380727565468,1.6395663143749772,19.824037537776277,Latin America
Brazil,pt,1.9474128069158314,2.019666864063987,3.5775235230014863,Latin America
Chile,es,1.6995097244807116,1.879709042070401,9.586553746169638,Latin America
China,zh-cn,0.9737100313182582,0.9744281301037404,0.07369438168885624,Confucian
Colombia,es,1.9954399537824243,2.22703784444849,10.399369334624808,Latin America
Ecuador,es,1.8952661114330263,2.182923392444144,13.17761686034423,Latin America
Egypt,ar,1.5930396429492977,1.8748619613611262,15.031630286382738,African-Islamic
France,fr,2.652106364730397,2.3408585280793175,-13.29631128569138,Catholic Europe
Germany,de,2.331515084085396,1.8485385585732075,-26.127479098135414,Protestant Europe
Guatemala,es,2.0014801377213205,1.9485366603096028,-2.7170891105177097,Latin America
Haiti,fr,2.6108013801547076,3.2791141499512677,20.380893718094324,Latin America
Hong Kong,zh-hk,1.559297913623216,2.0730119222291394,24.781044580463362,Confucian
Iraq,ar,2.011619386017139,2.140873889667323,6.037464620126178,African-Islamic
Italy,it,1.7767234986102753,1.4271281559981088,-24.49642249316184,Catholic Europe
Japan,ja,1.7876798902724933,1.849015625529601,3.317210217709209,Confucian
Jordan,ar,1.077520158228476,1.441363026019479,25.24297218833238,African-Islamic
Kazakhstan,ru,1.228739947737838,1.2928510137096039,4.958890490236046,African-Islamic
"Korea, Republic of",ko,1.4531121615782694,1.4975573738939019,2.9678470481613286,Confucian
Kuwait,ar,2.220572219366354,2.696644388196014,17.654243581896235,African-Islamic
Kyrgyzstan,ru,1.44951892700563,1.4771642132892606,1.8715106983313559,West & South Asia
Lebanon,ar,2.0224430044078763,2.5565342121249213,20.89122082481826,African-Islamic
Luxembourg,fr,2.9737416316307534,2.419657741810385,-22.899267125515177,Catholic Europe
Mali,fr,2.003648705330746,2.4308868161296315,17.575401206014124,African-Islamic
Mexico,es,1.576790385116251,1.792422101426896,12.030186201062055,Latin America
Morocco,ar,1.5361832754533475,1.8736003090796227,18.009018892189772,African-Islamic
Nicaragua,es,1.5848919435143822,1.9179499112766298,17.365311044048948,Latin America
Palestine,ar,1.6578353266432888,2.186661656763017,24.184186359336728,African-Islamic
Peru,es,1.3879606217881815,1.3575020529441937,-2.243721751869787,Latin America
Portugal,pt,2.987171797339534,3.623129845495567,17.55272582755166,Catholic Europe
Qatar,ar,1.7643469448085056,2.1003435194980056,15.997220053308475,African-Islamic
Russian Federation,ru,1.4630707274937789,1.6134898849720891,9.32259686777722,Orthodox Europe
Spain,es,2.4725639856678843,2.2054949926719223,-12.10925410773262,Catholic Europe
Switzerland,fr,2.316510096561764,1.7350740752882856,-33.510731879091196,Protestant Europe
"Taiwan, Province of China",zh-tw,1.9932341684814354,2.7324900603479434,27.054293905551276,Confucian
Tunisia,ar,1.5654632731909393,2.152711459796415,27.279465807322488,African-Islamic
Uruguay,es,3.2044083523689837,3.048185216826845,-5.125119519632295,Latin America
Venezuela,es,3.0335912531553584,2.7596529486830788,-9.926549083028881,Latin America
Yemen,ar,2.126310259811974,2.557769100353375,16.868560984718744,African-Islamic
