country,cultural_region,native_language,native_distance_mean,en_distance_mean,advantage_mean,n_models
Algeria,Middle East,ar,1.9186,1.7109,10.8254,20
Egypt,Middle East,ar,1.8749,1.593,15.0316,20
Iraq,Middle East,ar,2.1409,2.0116,6.0375,20
Jordan,Middle East,ar,1.4414,1.0775,25.243,20
Kuwait,Middle East,ar,2.6966,2.2206,17.6542,20
Lebanon,Middle East,ar,2.5565,2.0224,20.8912,20
Libya,Middle East,ar,2.294,2.1898,4.544,20
Morocco,Middle East,ar,1.8736,1.5362,18.009,20
Palestine,Middle East,ar,2.1867,1.6578,24.1842,20
Qatar,Middle East,ar,2.1003,1.7643,15.9972,20
Tunisia,Middle East,ar,2.1527,1.5655,27.2795,20
Yemen,Middle East,ar,2.5578,2.1263,16.8686,20
China,Confucian,zh-cn,0.9744,0.9737,0.0737,20
Japan,Confucian,ja,1.849,1.7877,3.3172,20
"Korea, Republic of",Confucian,ko,1.4976,1.4531,2.9678,20
"Taiwan, Province of China",Confucian,zh-tw,2.7325,1.9932,27.0543,20
Hong Kong,Confucian,zh-hk,2.073,1.5593,24.781,20
Macao,Confucian,pt,1.5055,1.478,1.8212,20
