model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
claude-3-7-sonnet-20250219,Algeria,ar,1.0183431452873966,0.956727900507886,-6.4402056997398756,32.59,FR,1,4960.30334332888,0.763,
claude-sonnet-4.5,Algeria,ar,1.239006167644418,1.4489133862674286,14.487216462521364,32.59,FR,1,4960.30334332888,0.763,
deepseek-chat,Algeria,ar,1.2101770364150806,1.7066563171186833,29.09075926556787,32.59,FR,1,4960.30334332888,0.763,
deepseek-chat-v3.1,Algeria,ar,1.4489133862674286,1.7066563171186833,15.102216437249496,32.59,FR,1,4960.30334332888,0.763,
doubao-1-5-pro-32k-250115,Algeria,ar,1.7194031186119756,1.948712757498474,11.767236500306945,32.59,FR,1,4960.30334332888,0.763,
gemini-2.5-flash,Algeria,ar,1.7066563171186833,1.4489133862674286,-17.788705197570902,32.59,FR,1,4960.30334332888,0.763,
gemini-2.5-pro,Algeria,ar,1.9904003028971,1.4489133862674286,-37.37193139091669,32.59,FR,1,4960.30334332888,0.763,
gemini-3-pro-preview,Algeria,ar,1.4489133862674286,1.7066563171186833,15.102216437249496,32.59,FR,1,4960.30334332888,0.763,
gemma-3-4b-it,Algeria,ar,2.389758043985497,2.3922787599686184,0.1053688234541019,32.59,FR,1,4960.30334332888,0.763,
gpt-4o,Algeria,ar,1.000440379456181,0.616109467573732,-62.380296377519095,32.59,FR,1,4960.30334332888,0.763,
gpt-4o-mini,Algeria,ar,1.2367512087949737,0.8817086177951239,-40.267565024792376,32.59,FR,1,4960.30334332888,0.763,
gpt-5.1,Algeria,ar,1.4489133862674286,1.239006167644418,-16.941579800372057,32.59,FR,1,4960.30334332888,0.763,
grok-4.1-fast,Algeria,ar,3.0862893259914927,2.212440848842976,-39.4970323209096,32.59,FR,1,4960.30334332888,0.763,
kimi-k2,Algeria,ar,0.8109350496067287,0.7876968267927373,-2.950148080272247,32.59,FR,1,4960.30334332888,0.763,
llama-3.2-3b-instruct,Algeria,ar,3.539756445949561,5.284177075725115,33.01215316551779,32.59,FR,1,4960.30334332888,0.763,
llama-3.3-70b-instruct,Algeria,ar,1.2367512087949737,1.4489133862674286,14.642847494080366,32.59,FR,1,4960.30334332888,0.763,
mistral-medium-3.1,Algeria,ar,1.2101770364150806,1.1960277966211603,-1.1830193105789488,32.59,FR,1,4960.30334332888,0.763,
mistral-nemo,Algeria,ar,2.0076907708582783,3.9958436775330175,49.75552266604682,32.59,FR,1,4960.30334332888,0.763,
phi-3-mini-128k-instruct,Algeria,ar,3.2442795348237596,4.734998502272645,31.48298709563242,32.59,FR,1,4960.30334332888,0.763,
qwen3-max,Algeria,ar,1.2240960651308326,1.2101770364150806,-1.1501646698721444,32.59,FR,1,4960.30334332888,0.763,
claude-3-7-sonnet-20250219,Argentina,es,1.7328341686694997,0.7762802535876824,-123.22275501160516,49.69,ES,1,13962.1894087223,0.865,71.0
claude-sonnet-4.5,Argentina,es,3.042509989133501,1.8887104102074717,-61.08927936704104,49.69,ES,1,13962.1894087223,0.865,71.0
deepseek-chat,Argentina,es,0.5670085354080806,1.457291835128104,61.09162751479785,49.69,ES,1,13962.1894087223,0.865,71.0
deepseek-chat-v3.1,Argentina,es,0.1970874394918065,3.1234913949362912,93.69015583614802,49.69,ES,1,13962.1894087223,0.865,71.0
doubao-1-5-pro-32k-250115,Argentina,es,1.714263946810256,0.4461447313290569,-284.239424211846,49.69,ES,1,13962.1894087223,0.865,71.0
gemini-2.5-flash,Argentina,es,2.392136998135461,1.7981883750599537,-33.03038943601805,49.69,ES,1,13962.1894087223,0.865,71.0
gemini-2.5-pro,Argentina,es,3.977332970805524,4.728965990427505,15.89423610031148,49.69,ES,1,13962.1894087223,0.865,71.0
gemini-3-pro-preview,Argentina,es,1.174720154228332,1.5853765016537922,25.90276486355652,49.69,ES,1,13962.1894087223,0.865,71.0
gemma-3-4b-it,Argentina,es,2.8798746486939453,2.474074755932649,-16.40208695344465,49.69,ES,1,13962.1894087223,0.865,71.0
gpt-4o,Argentina,es,0.9654652841041444,2.1140141903209533,54.330236356759464,49.69,ES,1,13962.1894087223,0.865,71.0
gpt-4o-mini,Argentina,es,4.638576711621449,2.8810916640314166,-61.000664072271896,49.69,ES,1,13962.1894087223,0.865,71.0
gpt-5.1,Argentina,es,3.722563440470061,1.9916417853271595,-86.90928599183655,49.69,ES,1,13962.1894087223,0.865,71.0
grok-4.1-fast,Argentina,es,2.7514398564675795,2.3372138518470527,-17.7230681862155,49.69,ES,1,13962.1894087223,0.865,71.0
kimi-k2,Argentina,es,2.6257719066083625,3.9265076043514617,33.12703880419304,49.69,ES,1,13962.1894087223,0.865,71.0
llama-3.2-3b-instruct,Argentina,es,2.8603909694636145,2.444004945681685,-17.0370368733354,49.69,ES,1,13962.1894087223,0.865,71.0
llama-3.3-70b-instruct,Argentina,es,0.78214611027981,1.360951784554558,42.52947685903452,49.69,ES,1,13962.1894087223,0.865,71.0
